Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,,,,,
"Energy and water use metrics for large buildings in calendar year 2014, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,,,,,
"Oct. 1, 2015",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel
Davenport Commons A,Yes,College/University,700 Columbus Avenue,02115," 122,719 ",72.7,Not applicable to this property type,,College/University,2001,595.6,4.9," 8,925,320 ",31%,69%,0%,34.59,,,,Not Available
Davenport Commons B,Yes,College/University,696 Columbus Avenue,02115," 76,325 ",75.4,Not applicable to this property type,,College/University,2001,392.3,5.1," 5,757,218 ",34%,66%,0%,35.83,,,,Not Available
Dix Hall,Yes,College/University,30 Pilgrim Road,02115," 22,000 ",108.5,Not Available,,College/University,1953,156.8,7.1," 2,386,587 ",29%,71%,0%,46.68,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",green.simmons.edu.,0402016000
Engine 33,Municipal,Fire Station,941 Boylston St,02115," 11,580 ",138,Not applicable to this property type,,Fire Station,2000,124.2, 10.7 ," 1,597,584 ",23%,8%,0%,2.58,,,,
Engine 37,Municipal,Fire Station,560 Huntington Ave,02115," 15,824 ",89.4,Not applicable to this property type,,Fire Station,2000,87.5, 5.5 ," 1,414,079 ",20%,80%,0%,2.36,,,,
Evans Hall,Yes,College/University,305 Brookline Avenue,02115," 31,900 ",96.8,Not Available,,College/University,1938,191.1,6," 3,087,064 ",20%,80%,0%,33.64,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",green.simmons.edu.,0402022000
FARRAGUT,Municipal,K-12 School,10 Fenwood Rd.,02115," 35,055 ",48.7,97,,K-12 School,1904,107.1, 3.1 ," 1,706,958 ",22%,78%,0%,0.87,,,,
Feldberg Garage,Yes,Parking,340 Brookline Ave,02115," 159,333 ",5,Not applicable to this property type,,Parking,1975,73.9,0.5," 791,601 ",100%,0%,0%,,,,,Not Available
Fenway,Yes,Multifamily Housing,38 Hemenway St.,02115," 28,060 ",105.2,67,,Multifamily Housing,1911,175.4,6.3," 2,952,137 ",14%,86%,0%,51.00,,,,0401395000
Fenway Triangle Trilogy,Yes,Multifamily Housing,180 Brookline Ave,02115," 727,512 ",131.5,Not Available,,"Bank Branch, Food Sales, Multifamily Housing, Office, Parking, Retail Store",2006,4484.2,9.5," 61,762,497 ",45%,55%,0%,49.52,,,,2100051014
FIFIELD,Municipal,K-12 School,20 Dunbar,02115," 31,654 ",55.5,97,,K-12 School,1916,104.4, 3.3 ," 1,756,354 ",14%,86%,0%,0.94,,,,
Fire Alarm,Municipal,Fire Station,59 Fenway,02115," 13,040 ",281.1,Not applicable to this property type,,Fire Station,2000,265.8, 20.4 ," 3,665,690 ",44%,56%,0%,2.69,,,,
GLC 6130007/41 BELVIDERE ST/BOSTON/MA,Yes,Office,41 BELVIDERE ST,02115," 119,288 ",229.9,1,,Office,1905,2459.6,20.6," 27,422,479 ",84%,16%,0%,32.31,,,,0401314000
Harvard SPH 1,Yes,Laboratory,665 Huntington Ave,02115," 164,789 ",230.3,Not Available,,"Laboratory, Office",1960,2720.2,16.5," 37,954,267 ",33%,1%,40%,7.92,,"With regard to  Parcel ID # 0401882000 with associated parcel Address of ""689 695 HUNTINGTON AV""

The land associated with this parcel ID contains approximately a dozen buildings on the parcel.  Three of these buildings are owned by the Harvard T.H. Chan School of Public Health and their associated energy and water usage is being reported under parcel ID 0401880000 under four separate buildings with metered allocations.  The remainder of the buildings residing on the parcel are owned by Harvard Medical School.

",,0401880000
Harvard SPH 2,Yes,Laboratory,665 Huntington Ave,02115," 105,991 ",455.4,Not Available,,"Laboratory, Office",1960,3345.8,31.6," 48,272,447 ",22%,0%,49%,52.98,,"With regard to  Parcel ID # 0401882000 with associated parcel Address of ""689 695 HUNTINGTON AV""

The land associated with this parcel ID contains approximately a dozen buildings on the parcel.  Three of these buildings are owned by the Harvard T.H. Chan School of Public Health and their associated energy and water usage is being reported under parcel ID 0401880000 under four separate buildings with metered allocations.  The remainder of the buildings residing on the parcel are owned by Harvard Medical School.
",,0401880000
Harvard SPH 3 Kresge,Yes,Office,677 Huntington Avenue,02115," 149,734 ",138.2,82,,"Data Center, Office, Retail Store",1970,1481.6,9.9," 20,700,543 ",38%,0%,26%,14.11,,"With regard to  Parcel ID # 0401882000 with associated parcel Address of ""689 695 HUNTINGTON AV""

The land associated with this parcel ID contains approximately a dozen buildings on the parcel.  Three of these buildings are owned by the Harvard T.H. Chan School of Public Health and their associated energy and water usage is being reported under parcel ID 0401880000 under four separate buildings with metered allocations.  The remainder of the buildings residing on the parcel are owned by Harvard Medical School.",,0401880000
Harvard SPH 4 FXB,Yes,Office,651 Huntingon Ave,02115," 114,162 ",245.4,Not Available,,"Laboratory, Office",1999,2054.3,18," 28,011,124 ",36%,0%,34%,9.48,,"With regard to  Parcel ID # 0401882000 with associated parcel Address of ""689 695 HUNTINGTON AV""

The land associated with this parcel ID contains approximately a dozen buildings on the parcel.  Three of these buildings are owned by the Harvard T.H. Chan School of Public Health and their associated energy and water usage is being reported under parcel ID 0401880000 under four separate buildings with metered allocations.  The remainder of the buildings residing on the parcel are owned by Harvard Medical School.",,0401880000
Health Center,Yes,College/University,94 Pilgrim Road,02115," 5,400 ",106.6,Not applicable to this property type,,College/University,1967,37.4,6.9," 575,462 ",27%,73%,0%,6.93,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",green.simmons.edu.,0402012000
Hemenway Apartments,Yes,Multifamily Housing,491 Huntington Ave,02115," 70,300 ",120.2,37,,Multifamily Housing,1900,493.7,7," 8,448,951 ",12%,88%,0%,75.18,,,,0401797000
Hilton Back Bay Boston,Yes,Not Available,40 Dalton St.,02115, Not Available ,Not Available,Not Available,,Not Available,1979,Not Available,Not Available, Not Available ,0%,0%,0%,,,,,Not Available
HMS-180 Longwood,Yes,Other,180 Longwood,02115," 61,540 ",190.8,Not applicable to this property type,,Other,1920,846.8,13.8," 11,742,389 ",26%,0%,57%,8.09,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies Steam and Chilled Water for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered.  NSTAR provides electrical service.",,0401872000
HMS-Armenise,Yes,Laboratory,210 Longwood Ave,02115," 133,645 ",219,Not applicable to this property type,,Laboratory,1905,2084.9,15.6," 29,262,383 ",29%,0%,43%,64.86,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered",,0401882000
HMS-C Building,Yes,Laboratory,240 Longwood,02115," 136,368 ",259.5,Not applicable to this property type,,Laboratory,1905,2593.4,19," 35,385,911 ",38%,0%,29%,26.24,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered.",,0401882000
HMS-Countway,Yes,Library,10 Shattuck St,02115," 162,771 ",184.9,Not applicable to this property type,,Library,1963,2126.1,13.1," 30,093,301 ",26%,0%,46%,8.44,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401882000
HMS-Goldenson,Yes,Laboratory,220 Longwood,02115," 133,445 ",246.5,Not applicable to this property type,,Laboratory,1905,2365.7,17.7," 32,888,734 ",29%,0%,48%,43.25,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. Gas Meter is labeled for 230 Longwood Ave. ",,0401882000
HMS-Gordon Hall,Yes,Office,25 Shattuck St,02115," 72,877 ",134.7,6,,Office,1905,799.8,11," 9,815,522 ",59%,0%,21%,9.95,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401882000
HMS-Harvard Institutes of Medicine (HIM),Yes,Laboratory,4 Blackfan St,02115," 295,537 ",487.6,Not applicable to this property type,,Laboratory,1992,10227.7,34.6," 144,093,811 ",26%,0%,50%,119.35,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies Steam and Chilled Water for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered.  NSTAR provides electrical service.HIM building operates a 24/7 critical environment laboratory for scientfic research.  ",,0401849000
HMS-LHRRB,Yes,Laboratory,45 Shattuck St,02115," 66,053 ",386.5,Not applicable to this property type,,Laboratory,1977,1842.8,27.9," 25,532,734 ",35%,0%,30%,21.49,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401882000
HMS-New Research Building (NRB),Yes,Laboratory,77 Avenue Louis Pasteur,02115," 825,684 ",368.4,Not applicable to this property type,,"Laboratory, Parking",2003,17914.5,28.6," 230,836,079 ",37%,0%,63%,44.44,,"The Medical Area Total Energy Plant (MATEP) on Brookline Ave., Boston supplies Steam to the NRB. NSTAR provides electrical service. NRB building operates a 24/7 critical environment laboratory for scientfic research.  ",,0401849000
HMS-Seeley Mudd,Yes,Laboratory,250 Longwood,02115," 91,622 ",578.7,Not applicable to this property type,,Laboratory,1977,3688.2,40.3," 53,021,317 ",21%,0%,55%,32.90,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. Seeley Mudd building operates a 24/7 critical environment laboratory for scientfic research.  ",,0401882000
HMS-Tosteson Medical Education Center (TMEC),Yes,College/University,260 Longwood Ave,02115," 180,027 ",181.4,Not applicable to this property type,,College/University,1905,2312.2,12.8," 32,660,833 ",25%,0%,52%,0.42,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401882000
HMS-Vanderbilt Hall,Yes,Residence Hall/Dormitory,107 Avenue Louis Pasteur,02115," 165,816 ",119,47,,Residence Hall/Dormitory,1927,1429.4,8.6," 19,732,876 ",24%,0%,66%,29.58,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401850000
HMS-Warren Alpert (WAB),Yes,Laboratory,200 Longwood Ave,02115," 286,194 ",527.5,Not applicable to this property type,,"Laboratory, Parking",1992,7472.6,37.5," 105,206,386 ",25%,0%,53%,102.07,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. WAB building operates a 24/7 critical environment laboratory for scientific research.  ",,0401882000
Holmes Sports Center,Yes,College/University,331 Brookline Avenue,02115," 53,100 ",133.7,Not applicable to this property type,,College/University,1989,491.1,9.2," 7,098,105 ",37%,63%,0%,18.89,,"Athletic facility with pool and spa; served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",green.simmons.edu.,0402012000
HSDM-Main,Yes,Medical Office,188 Longwood Ave,02115," 40,251 ",229.6,7,,Medical Office,1909,650.7,16.2," 9,241,279 ",23%,0%,55%,34.51,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401882000
HSDM-Research Education Building (REB),Yes,Laboratory,190 Longwood Ave,02115," 70,298 ",391.7,Not applicable to this property type,,Laboratory,2005,1885.3,26.8," 27,536,269 ",18%,0%,57%,12.22,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401882000
"Huntington Plaza, Boston Symphony Orchestra",Yes,Office,265 Huntington Avenue,02115," 20,000 ",14.6,Not Available,,Office,1950,28.2,1.4," 291,003 ",100%,0%,0%,,,,,Not Available
International Village,Yes,College/University,1155-1175 Tremont Street,02115," 495,301 ",89.3,Not applicable to this property type,,College/University,2009,3250,6.6," 44,229,880 ",47%,53%,0%,30.92,,,,Not Available
Isabella Stewart Gardner Museum,Yes,Museum,280 the Fenway,02115," 63,000 ",102.4,Not applicable to this property type,,Museum,1903,406,6.4," 6,452,294 ",22%,78%,0%,,,The water used in this building is metered through building identified as Portfolio Manager Property ID: 4040564. We only have one water main for the entire campus. ,,Not Available
Isabella Stewart Gardner Museum,Yes,Museum,25 Evans Way,02115," 70,000 ",159.1,Not applicable to this property type,,Museum,2011,979.1,14," 11,134,289 ",80%,20%,0%,39.30,,,,Not Available
Jean Yawkey Center/Marian Hall,Yes,College/University,400R The Fenway,02115," 121,477 ",213.6,Not applicable to this property type,,"College/University, Parking",1954,1300.9,14.8," 18,768,348 ",37%,63%,0%,38.52,,"Building contains gymnasium, fitness center, dining hall, classrooms, office spaces and parking.

Gross square footage includes 33,600 square feet for parking garage.

Between October 2014 and January 2015, we upgraded 413 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 184,000 kWh in these buildings.

http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html",http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html,0401847000
Julie Hall,Yes,Residence Hall/Dormitory,400 The Fenway,02115," 53,826 ",69,76,,Residence Hall/Dormitory,1958,268.5,5," 3,716,073 ",44%,56%,0%,41.02,,"Julie Hall get electricity from MATEP rather than NSTAR.

Between October 2014 and January 2015, we upgraded 144 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 50,000 kWh in this building.

http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html",http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html,0401862030
Kenmore Abbey,Yes,Multifamily Housing,488 Commonwealth Avenue,02115," 267,431 ",45.5,94,,Multifamily Housing,1978,809.8,3," 12,173,328 ",31%,69%,0%,27.88,,,,0503924000
Landmark Square,Yes,Multifamily Housing,75 Peterborough Street,02115," 204,157 ",53.2,Not Available,,"Multifamily Housing, Parking",2000,578.8,3.5," 8,879,705 ",28%,72%,0%,40.80,,,,0504311000
LATIN,Municipal,K-12 School,78 Louis Pasteur Ave.,02115," 336,545 ",62.2,68,,K-12 School,1922,1331.8, 4.0 ," 20,941,099 ",24%,76%,0%,0.88,,,,
Lefavour Hall,Yes,College/University,2 Avenue Louis Pasteur,02115," 122,900 ",117,Not applicable to this property type,,College/University,1961,968.5,7.9," 14,374,594 ",33%,67%,0%,12.60,,"Gas and electric consumption is managed by a shared meter; energy usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",green.simmons.edu.,0401842000
Loftman Hall,Yes,College/University,"163, 157, 153 Hemenway Street",02115," 53,219 ",86.1,Not applicable to this property type,,College/University,1909,272.2,5.1," 4,582,917 ",14%,86%,0%,34.95,,,,Not Available
Loretto Hall,Yes,Residence Hall/Dormitory,420 The Fenway,02115," 57,190 ",68.8,81,,Residence Hall/Dormitory,1964,259.3,4.5," 3,933,161 ",29%,71%,0%,32.77,,"Between October 2014 and January 2015, we upgraded 267 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 85,000 kWh in this building.

http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html",http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html,0401847000
Main College Building,Yes,College/University,300 The Fenway,02115," 198,700 ",122.4,Not applicable to this property type,,"College/University, Office",1904,1621.1,8.2," 24,315,730 ",31%,69%,0%,9.43,,"Gas and electric consumption is managed by a shared meter; energy usage has been apportioned by square foot. Data center is not separately metered. For information about recent energy efficiency projects, please visit green.simmons.edu.

",green.simmons.edu.,0401842000
McBride House/St Cecilia's: StC-108 Kilmarnock st,Yes,Multifamily Housing,108 Kilmarnock Street,02115," 80,731 ",67.8,71,,Multifamily Housing,1995,390.4,4.8," 5,472,518 ",42%,58%,0%,48.53,,2 seperate buildings with shared water meter.,,0504281010
MEEI -Longwood,Yes,Ambulatory Surgical Center,800 Huntington Ave,02115," 76,300 ",173.1,Not applicable to this property type,,Ambulatory Surgical Center,2012,969.9,12.7," 13,204,950 ",47%,53%,0%,,,,,1000894000
Merck MRL Boston,Yes,Laboratory,33 Avenue Louis PAsteur,02115," 626,593 ",394,Not applicable to this property type,,"Laboratory, Parking",2004,12396.8,30.6," 159,649,941 ",37%,0%,63%,30.23,,,,Not Available
Mesick Hall,Yes,College/University,291 Brookline Avenue,02115," 25,900 ",101.3,Not Available,,College/University,1961,166.6,6.4," 2,624,654 ",24%,76%,0%,33.00,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",green.simmons.edu.,0402020000
Morse Hall,Yes,College/University,275 Brookline Avenue,02115," 22,000 ",94.1,Not Available,,College/University,1953,126.1,5.7," 2,069,302 ",18%,82%,0%,40.65,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",green.simmons.edu.,0402017000
Morville House: 100 Norway Street,Yes,Multifamily Housing,100 Norway Street,02115," 152,987 ",75.4,65,,Multifamily Housing,1972,743.1,4.9," 11,531,133 ",26%,74%,0%,33.37,,,,0401452000
Nora's House LLC,Yes,Retail Store,1106 Commonwealth Ave,02115," 71,756 ",17.5,Not Available,,Retail Store,1928,121.2,1.7," 1,253,217 ",100%,0%,0%,38.79,,Don't  really know what type of retail,,20-5722706
"North Building, Boston Symphony Orchestra",Yes,Not Available,2-6 Westland Avenue,02115, Not Available ,50.2,Not Available,,Office,1947,14.9,3.7," 200,790 ",0%,0%,0%,,,,,Not Available
North Hall,Yes,College/University,86 Pilgrim Road,02115," 26,000 ",105.1,Not Available,,College/University,1907,176.9,6.8," 2,733,841 ",27%,73%,0%,34.71,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",green.simmons.edu.,0402012000
Northeastern University Big Campus,Yes,College/University,360 Huntington Avenue,02115," 4,699,442 ",152.6,Not applicable to this property type,,College/University,1956,48581.7,10.3," 717,133,522 ",34%,66%,0%,28.25,,,,Not Available
Norway Housing: 99-103 Norway Street,Yes,Multifamily Housing,99-103 Norway Street,02115," 45,570 ",87.2,44,,Multifamily Housing,1978,291.4,6.4," 3,975,317 ",20%,25%,0%,62.30,,,,0401410000
On The Fens Condominium,Yes,Not Available,70-74 The Fenway,02115, Not Available ,Not Available,Not Available,,Not Available,1981,91.1,Not Available," 1,119,582 ",65%,35%,0%,,,,,0401719000
One Palace Road,Yes,Parking,1 Palace Road,02115," 147,840 ",172.2,Not applicable to this property type,,"College/University, Parking",2002,795.2,13.3," 10,331,105 ",55%,45%,0%,11.25,,"Gas and electric consumption is managed by a shared meter; energy usage has been apportioned by square foot; majority of building is underground parking garage. For information about recent energy efficiency projects, please visit green.simmons.edu.",green.simmons.edu.,0401842000
Park Science Center,Yes,College/University,300 The Fenway,02115," 103,200 ",116.2,Not applicable to this property type,,College/University,1972,809.2,7.8," 11,995,567 ",33%,67%,0%,35.21,,Gas and electric consumption is managed by a shared meter; energy usage has been apportioned by square foot; Academic Campus chiller plant is located on the roof of this building.,,0401842000
PHS-BWH Main Campus,Yes,Hospital (General Medical & Surgical),75 Francis Street,02115," 2,138,279 ",321.1,27,,Hospital (General Medical & Surgical),1910,47893.7,22.4," 686,562,708 ",29%,0%,38%,26.67,,,,0401896000
PHS-BWH-ServiCenter Garage,Yes,Parking,"500 Brookline Avenue, or",02115," 252,077 ",220.3,Not applicable to this property type,,"Medical Office, Parking",1970,1080.3,15," 15,818,478 ",22%,0%,49%,1.21,,"Combination Parking, Dr. Offices, and HVAC shops for main hospital.",,1000240000
"Residences at Copley Place, The",Yes,Multifamily Housing,16 Harcourt Street,02115," 157,450 ",13.1,100,,Multifamily Housing,1900,199.4,1.3," 2,060,959 ",100%,0%,0%,301.16,,,,0400985010
Riverway Condominium,Yes,Other - Lodging/Residential,378-386 Riverway ,02115," 52,308 ",71.3,Not applicable to this property type,,Other - Lodging/Residential,1985,227.1,4.3," 3,728,475 ",18%,82%,0%,3900.50,,"Condominium Building.  There are 5 buildings all on the same parcel of land. 378, 380, 382, 384 & 386 Riverway.  There is no parking at this location.  ",,1000308000
"Rubenstein,Burstein Campus",Yes,College/University,454-458-460 Huntington Avenue,02115," 81,306 ",63.2,Not applicable to this property type,,College/University,1926,320.2,3.9," 5,138,843 ",21%,79%,0%,33.59,,,,Not Available
Saint Botolph,Yes,Multifamily Housing,150 Saint Botolph Street,02115," 102,004 ",86,44,,Multifamily Housing,1920,558.2,5.5," 8,774,074 ",24%,76%,0%,15.85,,,,0402385000
School Of Management and Academic Building,Yes,Parking,300R The Fenway,02115," 313,500 ",258.2,Not applicable to this property type,,"College/University, Office, Parking",2009,1434.7,21.6," 17,169,409 ",70%,30%,0%,5.06,,"LEED Gold Certified. Gas and electric consumption is managed by a shared meter; energy usage has been apportioned by square foot; data center is not separately metered; majority of building is underground parking garage. For information about recent energy efficiency projects, please visit green.simmons.edu.",green.simmons.edu.,0401842000
Shapiro Cardiovascular Center,Yes,Hospital (General Medical & Surgical),70 Francis Street,02115," 435,000 ",380.6,2,,Hospital (General Medical & Surgical),2008,12833.5,29.5," 165,547,017 ",37%,0%,63%,69.66,,,,1000247010
Simmons Hall,Yes,College/University,255 Brookline Avenue,02115," 34,400 ",95.3,Not Available,,College/University,1956,201.1,5.8," 3,276,786 ",19%,81%,0%,31.40,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",green.simmons.edu.,0402017000
Smith Hall,Yes,College/University,54 Pilgrim Road,02115," 32,400 ",115.5,Not Available,,College/University,1964,252.8,7.8," 3,740,857 ",33%,67%,0%,30.78,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",green.simmons.edu.,0402015000
Sophine LPS,Yes,Multifamily Housing,150 Huntington Avenue,02115," 313,281 ",104.2,7,,"Multifamily Housing, Parking",1980,2192.2,7.6," 29,925,522 ",46%,54%,0%,,,,,0400864000
South Hall,Yes,College/University,321 Brookline Avenue,02115," 26,100 ",101.4,Not Available,,College/University,1905,168.1,6.4," 2,646,500 ",24%,76%,0%,47.24,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",green.simmons.edu.,0402012000
St. Ann Hall,Yes,Residence Hall/Dormitory,410 The Fenway,02115," 49,803 ",75.4,76,,Residence Hall/Dormitory,1962,248.8,5," 3,757,010 ",30%,70%,0%,31.83,,"In August 2014, we replaced an aging boiler with a high-efficiency condensing boiler.

Between October 2014 and January 2015, we upgraded 215 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 73,000 kWh in this building.

http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html",http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html,0401847000
St. Joseph Hall,Yes,Residence Hall/Dormitory,430 The Fenway,02115," 94,450 ",54,85,,Residence Hall/Dormitory,1966,361.1,3.8," 5,102,665 ",40%,60%,0%,38.81,,"Between October 2014 and January 2015, we upgraded 394 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 135,000 kWh in this building.

http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html",http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html,0401847000
Susan Bailis Assisted Living,Yes,Senior Care Community,352 Mass ave,02115," 59,999 ",Not Available,Not Available,,"Parking, Retail Store, Senior Care Community",2003,Not Available,Not Available, Not Available ,0%,0%,0%,63.97,,,,0402350010
Symphony Court Condo,Yes,Multifamily Housing,41 Westland Ave,02115," 72,000 ",26.3,100,,Multifamily Housing,1960,143.2,2," 1,893,373 ",0%,48%,0%,10.39,,,,0401482000
Symphony East: 334 Massachusetts Ave,Yes,Multifamily Housing,334 Massachusetts Ave,02115," 154,105 ",64.1,58,,Multifamily Housing,1978,727,4.7," 9,872,521 ",47%,53%,0%,39.03,,,,0402295000
"Symphony Hall Service,      Boston Symphony Orchestra",Yes,Not Available,249 Massachusetts Ave,02115, Not Available ,Not Available,Not applicable to this property type,,Performing Arts,1900,325839.9,Not Available," 4,907,339,225 ",0%,0%,100%,7.36,,,,Not Available
Symphony West: 333 Massachusetts Ave,Yes,Multifamily Housing,333 Massachusetts Ave,02115," 174,779 ",73.7,48,,Multifamily Housing,1978,913.4,5.2," 12,875,036 ",41%,59%,0%,39.96,,,,0402277000
SYNH LLC,Yes,Multifamily Housing,115 St Stephen,02115," 45,324 ",10.1,100,,Multifamily Housing,1950,43.3,1," 457,487 ",95%,5%,0%,43.91,,,,34-2026457
THE BRIGHAM AND WOMEN'S,Yes,Office,75 Fenwood Road,02115," 65,692 ",144.1,24,,Office,2012,736.8,11.2," 9,465,691 ",38%,0%,62%,4.22,,,,1000240010
"The First Church of Christ, Scientist (plaza)",Yes,Office,210 Massachusetts Avenue,02115," 1,271,190 ",112.3,Not applicable to this property type,,"Museum, Office, Parking, Worship Facility",1934,8017.9,7.4," 121,415,456 ",29%,69%,0%,8.47,,"This multi-building property consists of 5 bldgs (Publishing House Bldg at 210 Mass Ave; Church at 250 Mass Ave;  Reflection Hall at 235 Huntington Ave; Colonnade at 101 Belvidere;  and underground parking garage at 195 Huntington Ave)  spanning three parcels.  177 Huntington was sold in October 2013.  The property includes a data center, reflection pool, spray park fountain and 10 acres of open plaza.
One electric meter services all of the bldgs/equipment.  Electricity consumed by the reflection pool, fountain, and plaza are estimated and subtracted from the total metered electricity.  One natural gas meter services all of the buildings.  Water used for the reflection pool and plaza,  fountain, church irrigation system, and church recharge wells is not included in the water data reported.  The data center is powered by two metered UPS systems that provide only real time data.  The data center is included in the Office use and it's 32 servers are included in the # of computers.
",,0401185000 0401150000 0401162000
