Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Address of Record,DC Real Property ID,Owner of Record,PM Parent Property ID,PM Property ID,Parent Property Name,Ward,X-Coordinate (ESRI),Y-Coordinate (ESRI)
3801 Connecticut Ave,Multifamily Housing,"3801 Connecticut Ave, NW",Washington,District of Columbia,DC,20008,,,161136,177403,1951,2013,,88.2,156.8,89.1,157.6,,,1231.5,49.4952171,3801 CONNECTICUT AV NW,22340003,B FRANKLIN KAHN TRUSTEES,,3470657,,3,394800.0329,141279.8464
3883 CONNECTICUT AVE CONDO,Multifamily Housing,3883 CONNECTICUT AVE NW,Washington,District of Columbia,DC,20008,,,134003,134003,2004,2013,,35.3,108.3,35.3,108.3,,,586.8,38.88942785,3883 CONNECTICUT AVE NW,22341600,3883 CONNECTICUT AVE CONDO,,3511841,,3,,
The Consulate,Multifamily Housing,2950 Van Ness St. NW,Washington,District of Columbia,DC,20008,,,266382,266382,1978,2013,,43.9,133.4,43.8,133.4,,,1439,24.7967205,2950 VAN NESS ST NW,22430066,SMITH PROPERTY HOLDINGS KENMORE LP,,3993717,,3,394695.637,141663.0051
2000 Connecticut,Multifamily Housing,2000 Connecticut Avenue NW,Washington,District of Columbia,DC,20008,,,128664,120000,1935,2013,95,37.3,76.8,37.3,76.9,,,412.3,34.26,2000 CONNECTICUT AV NW,25280302,KS 2000 CONNECTICUT LLC,,3625086,,2,395895.3436,138780.8053
The Churchill Hotel,Hotel,"1914 Connecticut Avenue, NW",Washington,District of Columbia,DC,20009,,,111018,116503,2007,2013,88,66.5,128.2,67,128.7,,,650.8,47.59534089,1914 CONNECTICUT AV NW,25300820,H H CHURCHILL HOTEL ASSOCIATES LP,,3408958,,2,395922.0318,138722.483
The Gelmarc Towers Apartments,Multifamily Housing,"1930 Columbia Road, NW",Washington,District of Columbia,DC,20009,,,127257,127257,1950,2013,,78,129.5,78.4,129.6,,,740,48.84839341,1954 COLUMBIA RD NW,25350039,DAVID HORNSTEIN,,3672855,,1,396094.2268,138918.7927
"Schuyler Arms, A Condominium",Multifamily Housing,1954 Columbia Road,Washington,District of Columbia,DC,20009,,,127257,127257,1927,2013,,50,73.3,50.5,73.9,,,430.8,15.56849525,1954 COLUMBIA RD NW,25350039,DAVID HORNSTEIN,,3884259,,1,396094.2268,138918.7927
Washington Hilton,Hotel,1919 Connecticut Ave,Washington,District of Columbia,DC,20009,,,973414,973414,1965,2013,34,117.3,232.4,118,233.1,,,9801.9,58.89806393,1919 CONNECTICUT AV,25350041,CJUF II DESTINATION HOTEL LLC,,3421706,,1,396110.0031,138722.6494
1875 Connecticut Ave NW,Office,1875 Connecticut Ave NW,Washington,District of Columbia,DC,20037,,,519484,404202,1961,2013,79,80.7,183.5,80.9,183.1,,,3136,9.176105017,1875 CONNECTICUT AV NW,25350830,UNIVERSAL BUILDING NORTH INC,,1423556,,1,396071.1823,138639.9524
1825 Connecticut Avenue,Office,1825 Connecticut Av,Washington,District of Columbia,DC,20009,,,421800,319977,1957,2013,67,97.3,211.1,98.1,212,,,2879.9,21.84313248,1825 CONNECTICUT AV NW,25350831,UNIVERSAL BUILDING INC,,1423516,,1,396042.536,138590.6091
The Promenade,Multifamily Housing,1884 Columbia Road,Washington,District of Columbia,DC,20009,,,187707,206478,1964,2013,,61,112.4,61.2,112,,,1019.7,42.22677477,1884 COLUMBIA RD NW,25530073,ADAMS-MORGAN ASSOCIATES,,3075531,,1,396195.6043,139018.1162
The Envoy,Multifamily Housing,2400 16th Street NW,Washington,District of Columbia,DC,20009,,,276092,276092,1918,2013,,17.9,37.5,18.2,37.8,,,444.6,,2400 16TH ST NW,25710104,ENVOY ASSOCIATES LTD PTSP,,3542046,,1,396736.9114,139286.5096
Merridian Hill Hall,Residence Hall/Dormitory,2601 16TH ST NW,Washington,District of Columbia,DC,20009,,,183744,182516,1941,2013,95,23,72.4,23,72.4,,,563,,2601 16TH ST NW,25740831,HOWARD UNIVERSITY,,3513025,,1,396893.3805,139527.2154
The Chatham,Multifamily Housing,1707 Columbia Rd NW,Washington,District of Columbia,DC,20009,,,114441,114441,1916,2013,15,78.9,150.4,79.5,151.1,,,778.5,36.72285282,1707 COLUMBIA RD NW,25810448,NATIONAL SAVINGS & TRUST COMPANY,,3500398,,1,396562.9182,139693.3607
Calverton,Multifamily Housing,1673Columbia Rd NW,Washington,District of Columbia,DC,20009,,,104040,104040,1920,2013,,62.2,93.4,62.7,93.9,,,446.2,19.7289504,1673 COLUMBIA RD NW,25810471,NATIONAL SAVINGS & TRUST COMPANY TRUSTEES,,3500380,,1,396617.0219,139727.2171
"Saxony Cooperative Apartments, Inc.",Multifamily Housing,"1801 Clydesdale Place, NW",Washington,District of Columbia,DC,20009,,,120823,110000,1949,2013,100,30.3,55.9,30.4,55.9,,,279.6,33.49727273,1801 CLYDESDALE PL NW,25860814,SAXONY COOPERATIVE APARTMENTS INC,,4379295,,1,396232.7895,139811.2743
Chalfonte,Multifamily Housing,1601 Argonne Pl NW,Washington,District of Columbia,DC,20009,,,202589,202589,1926,2013,,64.9,102.7,65.6,103.5,,,944.2,36.91266554,1601 ARGONNE PL NW,25900801,COLUMBIA REALTY VENTURE LLC,,3503889,,1,396656.4234,139874.8296
The Parkhill,Multifamily Housing,"1610 Park Road, NW",Washington,District of Columbia,DC,20010,,,102238,122458,1941,2013,,60.2,91.8,60.7,92.3,,,514.7,41.6959284,1610 PARK RD NW,26081026,BUZ PARTNERSHIP,,3075573,,1,396767.4988,140411.5594
Majestic Apartments,Multifamily Housing,3200 16th Street NW,Washington,District of Columbia,DC,20010,,,126238,126238,1938,2013,,44.1,59.9,44.5,60.2,,,355.9,,3200 16TH ST NW,26081039,MORRIS AND GWENDOLYN CAFRITZ FOUNDATION,,3541282,,1,396786.9972,140348.3791
Crestwood Apartments,Multifamily Housing,3900 16th Street NW,Washington,District of Columbia,DC,20011,,,263260,263260,1955,2013,87,56.1,96.4,56.4,96.8,,,1166.1,38.47565145,3900 16TH ST NW,26330829,CRESTWOOD APARTMENTS ASC,,3330701,,4,396765.6355,141268.1016
SAMUEL KELSEY REDEVELOPMENT LIMITED PARTNERSHIP,Multifamily Housing,"3300 14TH ST, NW",Washington,District of Columbia,DC,20032,,,149140,149140,1923,2013,,48.7,114.5,49,114.8,,,718,36.21362478,3300 14TH ST NW,26760795,SAMUEL KELSEY REDEVELOPMENT LIMITED PARTNERSHIP,,3506526,,1,397113.6492,140337.4319
The Yorkshire,Multifamily Housing,"3355 16th Street, NW",Washington,District of Columbia,DC,20010,,,75717,76772,1940,2013,,81.4,120,82.7,121.3,,,424.9,38.77194811,3355 16TH ST NW,26770811,EDWARD J LENKIN,,3072203,,1,396877.6512,140556.6022
Allegro,Multifamily Housing,3460 14th Street NW,Washington,District of Columbia,DC,20010,,,353792,269053,2009,2013,,50.6,136.3,50.5,136,,,1510.4,50.23917221,3460 14TH ST,26780709,PR ALLEGRO LLC,,4007843,,1,397094.168,140564.0046
Cavalier Apartments,Multifamily Housing,3500 14th Street NW,Washington,District of Columbia,DC,20010,,,235994,252792,1926,2013,,38.1,91,38.1,91.1,,,965,42.0468211,3500 14TH ST NW,26880043,CAVALIER APARTMENTS LP,,3253388,,1,397120.0718,140747.247
Cromwell,Multifamily Housing,1515 Ogden Street NW,Washington,District of Columbia,DC,20010,,,156632,156632,1949,2013,,78.4,131.4,79,132.1,,,922.5,97.07977936,1515 OGDEN ST NW,26890861,1515 ODGEN STREET LP,,3541006,,1,396976.9898,140915.4831
Northern Bus,Other - Services,4701 14th Street NW,Washington,District of Columbia,DC,20011,,,171011,175185,1906,2013,,59.9,63.2,59.9,63.2,,,559,23.98493022,4701 14TH ST NW,28110802,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),,3512611,,4,397246.1421,142139.5782
Triangle Development Associates LLC,Multifamily Housing,1375 Kenyon St NW,Washington,District of Columbia,DC,20010,,,147960,155545,2004,2013,,18.6,48,18.7,48.1,,,309.3,,1375 KENYON ST,28430078,TRIANGLE DEVELOPMENT ASSOCIATES LLC,,3979732,,1,397229.2543,140252.1669
View 14,Multifamily Housing,2303 14th Street NW,Washington,District of Columbia,DC,20009,,,276542,154529,2000,2013,,46.8,100.5,46.8,100.6,,,663.3,53.41974646,2305 14TH ST,28680155,VIEW 14 INVESTMENTS LLC,,3515264,,1,397268.7432,139200.1506
Howard Tower Plaza,Residence Hall/Dormitory,2251 Sherman Avenue,Washington,District of Columbia,DC,20059,,,520000,573687,1989,2013,69,45.4,142.5,45.4,142.5,,,3486.2,,2251 SHERMAN AV,28731101,HOWARD UNIVERSITY,,3512980,,1,397928.9733,139161.0446
Blackburn Center (2A),,2397 6th Street,Washington,District of Columbia,DC,20059,,,1095275,,1867,2013,,,,,,,,0,,2440 6TH ST NW,30570092,HOWARD UNIVERSITY,4060094,4060682,Sub Station Buildings,1,398221.3904,139576.0873
Administration Bldg (1B),,2400 6th St. NW,Washington,District of Columbia,DC,20059,,,119550,,1867,2013,,,,,,,,0,,2400 6TH ST NW,30600839,HOWARD UNIVERSITY,4060094,4060678,Sub Station Buildings,1,398116.4816,139450.7528
Baldwin Hall,,"2455 4th Street, NW",Washington,District of Columbia,DC,20059,,,222077,,1867,2013,,,,,,,,0,,2350 4TH ST NW,30630801,HOWARD UNIVERSITY,4060094,4060680,Sub Station Buildings,1,398470.7315,139346.5734
Bethune Annex (3B),,"2455 4th Street, NW",Washington,District of Columbia,DC,20059,,,222077,,1867,2013,,,,,,,,0,,2350 4TH ST NW,30630801,HOWARD UNIVERSITY,4060094,4060681,Sub Station Buildings,1,398470.7315,139346.5734
Architecture and Planning (1A),,2366 6th St. NW,Washington,District of Columbia,DC,20059,,,162354,,1867,2013,,,,,,,,0,,2300 - 2370 6TH ST NW,30640837,HOWARD UNIVERSITY,4060094,4060679,Sub Station Buildings,1,398135.5793,139320.7983
Howard Center/ Book Store,Office,2225 Georgia Avanue,Washington,District of Columbia,DC,20059,,,122766,90157,1975,2013,63,71.1,223.2,70.7,222.1,,,857.8,,2225 GEORGIA AV NW,30650036,HOWARD UNIVERSITY,,3513020,,1,398130.842,139096.6667
Children's National Medical Center,Hospital (General Medical & Surgical),"111 Michigan Ave, N.W.",Washington,District of Columbia,DC,20010,,,823803,1957377,1970,2013,57,192.6,425.3,193.1,425.9,,,38228.7,32.56025794,0111 MICHIGAN AV,31290801,NATIONAL CHILDREN'S MEDICAL CENTER,,3205476,,5,398725.3075,139948.4803
Gables Takoma Park,Multifamily Housing,7035 Blair Rd,Washington,District of Columbia,DC,20012,,,199880,189995,2008,2013,,13.8,33.7,13.8,33.8,,,267.4,19.59419985,7035 BLAIR RD,31870053,L G TAKOMA PARK LP,,3671428,,4,398362.6436,145296.4629
"Jemal's Takoma Park, LLC",Non-Refrigerated Warehouse,"6856 Eastern Ave, 6905-6926 Willow & 6923-6949 Maple",Washington,District of Columbia,DC,20012,,,161798,209707,1956,2013,73,51.2,107.6,51.2,107.6,,,967.2,6.269700105,6856 EASTERN AV NW,33590048,DONALD JEMAL,,3358048,,4,398770.9213,145080.8678
DCAA,Non-Refrigerated Warehouse,1501 Eckington Place,Washington,District of Columbia,DC,20002,,,208650,210000,1990,2013,53,85.2,161.8,86.4,163.3,,,1484.5,1.752380952,1501 ECKINGTON PL NE,35820802,FEDERAL EXPRESS CORPORATION,,3514565,,5,399665.1658,138003.5727
Brentwood Yard,Other - Services,0601 T Street NE,Washington,District of Columbia,DC,20018,,,208968,121936,1972,2013,,38.9,41.2,39.3,41.6,,,253.5,1.686950531,0601 T ST NE,36050812,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),,3512821,,5,400033.9331,138361.2561
Blessed John Paul II Shrine,Museum,3900 Harewood Rd NE,Washington,District of Columbia,DC,20017,,,63373,110000,1999,2013,,136.7,299.5,136.7,299.4,,,1401.8,,3900 HAREWOOD RD NE,36630004,"KNIGHTS OF COLUMBUS FAMILY LIFE BUREAU, INC",,3335492,,5,399607.5241,141083.9628
The Heights I,Multifamily Housing,400 Taylor Street N.E.,Washington,District of Columbia,DC,20017,,,181328,154532,1979,2013,1,134.1,210.1,135.4,211.5,,,1514.7,65.57606192,0310 - 0390 TAYLOR ST NE,36640824,HORNING ASSOCIATES,,3760910,,5,399724.3417,141605.6521
Basilica of the National Shrine of the Immaculate Conception,Worship Facility,400 Michigan Avenue  N.E.,Washington,District of Columbia,DC,20017,,,248643,226301,1959,2013,1,102.3,234,102.7,234.3,,,2236.8,39.22607501,0400 MICHIGAN AV NE,38210040,NATIONAL SHRINE OF THE IMMACULATE CONCEPTION,,2951825,,5,399936.7747,140620.0848
Stone Straw Building,Office,"900 Franklin Street, NE",Washington,District of Columbia,DC,20017,,,68656,74239,1931,2013,100,40.6,42.8,41.5,43.8,,,160.8,4.846509247,0922 FRANKLIN ST NE,38400023,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),,2008136,,5,400587.5661,139774.4006
Home Depot #2583,Retail Store,901 Rhode Island Ave.,Washington,District of Columbia,DC,20018,,,116752,128914,2002,2013,54,83,213.6,83.4,214,,,1141.8,,0901 RHODE ISLAND AV,38540801,HOME DEPOT USA INC,,3481081,,5,400756.7761,139219.7083
"Jemal's Hecht's, LLC",Distribution Center,"1401 New York Ave, NE & 2001 16th St, NE",Washington,District of Columbia,DC,20002,,,468740,468740,1937,2013,,,1.1,,1.1,,,21,0,1401 - 1435 NEW YORK AV NE,40370804,JEMAL'S HECHT'S LLC,,3504819,,5,401354.8325,138611.606
The HSC Pediatric Center,Hospital (General Medical & Surgical),"1731 Bunker Hill Road, NE",Washington,District of Columbia,DC,20017,,,200947,115454,1929,2013,76,189.6,444,190.1,444.6,,,2157,47.81904481,1731 BUNKER HILL RD,41630004,CHILDREN'S CONVALESCENT HOSPITAL SICK CHILDREN,,3496646,,5,401630.4953,141495.3243
Premium Distributors of WDC,Distribution Center,"3500 Fort Lincoln Dr, NE",Washington,District of Columbia,DC,20018,,,148521,148521,2001,2013,55,40.4,126.9,40.4,126.9,,,803.6,8.015701483,3500 FORT LINCOLN DR,43270803,FORT LINCOLN NEW TOWN/PREMIUM DISTRIBUTORS LLC,,3670227,,5,404472.2154,139380.4084
Bladensburg Bus Garage,Other - Services,2251 26th Street NE,Washington,District of Columbia,DC,20018,,,258459,76125,1962,2013,,275.3,289.5,277.9,292.2,,,1113.5,103.0817734,2250 26TH ST NE,43500006,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),,3510438,,5,402593.6191,139386.5428
Bladensburg HOMT,Other - Services,2250 26th Street NE,Washington,District of Columbia,DC,20018,,,258459,155893,1962,2013,,103.8,109.5,105.9,111.6,,,861.6,4.025838235,2250 26TH ST NE,43500006,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),,3512849,,5,402593.6191,139386.5428
4359-0834,Non-Refrigerated Warehouse,2800 V ST NE,Washington,District of Columbia,DC,20018,,,267683,242810,1950,2013,65,31.2,82.6,31.3,82.5,,,828.3,1.595898027,2800 V ST NE,43590834,2800 V STREET LIMITED PARTNERSHIP,,3468516,,5,402746.4483,139219.0623
4365-0032,Non-Refrigerated Warehouse,3030-3070 V ST NE,Washington,District of Columbia,DC,20018,,,106200,106266,1957,2013,65,39.9,76,39.8,75.9,,,352.6,9.545856624,3030 - 3070 V ST NE,43650032,SMC UNITED INDUSTRIAL LIMITED PARTNERSHIP,,3470676,,5,403064.3567,139040.22
4371-0001,Distribution Center,3300 V ST NE,Washington,District of Columbia,DC,20018,,,100200,103000,1960,2013,1,138.6,366.4,139,366.8,,,1558.3,3.180582524,3300 V ST NE,43710001,SMC UNITED INDUSTRIAL LIMITED PARTNERSHIP,,3470720,,5,403458.9886,139017.2302
Flats at Atlas,Multifamily Housing,1600 Maryland Ave NE,Washington,District of Columbia,DC,20002,,,255208,216759,2012,2013,,48,139.9,48.2,140.4,,,1234.7,39.79534875,1600 MARYLAND AV,44910809,1600 MARYLAND AVENUE LLC,,4007916,,5,401626.3261,137118.2083
Azeeze Bates,Multifamily Housing,1515 F Street NE,Washington,District of Columbia,DC,20002,,,181010,78475,1975,2013,,4.8,15,4.8,15,,,47.5,57.91653393,1501 - 1523 BENNING RD NE,45090157,PENTACLE LIMITED PARTNERSHIP,,3984106,,6,401512.2517,136837.5404
Paradise at Parkside,Multifamily Housing,"3712-3722 Hayes Street, NE",Washington,District of Columbia,DC,20019,,,417812,472535,1965,2013,45,60.9,143,60.9,143,,,2971.9,97.46600781,3720 HAYES ST,50570803,MAYFAIR MANSIONS LIMITED PARTNERSHIP,,3829893,,7,404468.1058,137232.2412
Lotus Square,Multifamily Housing,800 Kenilworth Ave NE,Washington,District of Columbia,DC,20019,,,246295,222956,2006,2013,,31.9,100.1,31.9,100.1,,,900.3,65.76454547,800 KENILWORTH AV,50580008,KENILWORTH AVE APARTMENTS LLC,,4007880,,7,404681.3678,137056.9567
Carver Senior Apartments,Multifamily Housing,4800 East Capitol St NE,Washington,District of Columbia,DC,20019,,,90094,90094,2007,2013,,28.6,86.6,28.6,86.6,,,316.2,12.75001665,4800 EAST CAPITOL ST,51400088,CARVER SENIOR APARTMENTS LIMITED PARTNERSHIP,,4019462,,7,405739.0213,135809.6564
Stoneridge I,Multifamily Housing,324 Anacostia Road SE,Washington,District of Columbia,DC,20019,,,109280,109280,1971,2013,,71,141.8,71.5,142.3,,,670.6,66.01848463,0310 - 0354 ANACOSTIA RD SE,54400805,SOUSA ASSOCIATES LTD ASSOCIATES,,3686127,,7,403958.3018,135236.9564
The Grays on Pennsylvania,Multifamily Housing,2323 Pennsylvania Avenue SE,Washington,District of Columbia,DC,20020,,,76800,104221,2010,2013,,47.7,135.5,47.9,135.7,,,577.1,307.2423024,2323 PENNSYLVANIA AV,55600055,2300 PENNSYLVANIA AVENUE LLC,,4007889,,7,402378.1214,134005.9009
Washington View #1,Multifamily Housing,2627-53 Stanton Rd SE,Washington,District of Columbia,DC,20020,,,127736,127736,1960,2013,,14,42.7,14,42.7,,,221,53.98321538,2627 - 2653 STANTON RD SE,58710869,WASHINGTON VIEW ASSOCIATES LLC,,3500430,,8,400923.0461,132243.0313
MCP-RANDLE ASSOCIATES LP,Multifamily Housing,3300-38 6TH ST SE,Washington,District of Columbia,DC,20032,,,210652,179232,1968,2013,,94.1,159.6,95,160.5,,,1278.6,62.54575076,3300 - 3368 6TH ST SE,59730016,MCP-RANDLE ASSOCIATES LP,,3507252,,8,400197.8136,130328.0311
Atlantic Terrace Ltd.,Multifamily Housing,"4301 3rd St., SE",Washington,District of Columbia,DC,20032,,,200839,200839,1964,2013,,3.6,8.6,3.6,8.6,,,72.7,61.06931423,4301 3RD ST,62190032,ATLANTIC TERRACE LTD,,3505747,,8,399773.5474,128925.737
311dy-Courtyard US Capital,Hotel,1325 2nd Street NE,Washington,District of Columbia,DC,20002,,,137972,159857,2009,2013,30,78.9,212,78.9,212.1,,,1467.9,55.22936124,1325 2ND ST,7.10E+16,DC CY OWNER LLC,,3351826,,6,,
Center for Education and Medicine,Office,"2501 M Street, NW",Washington,District of Columbia,DC,20037,,,,159396,1986,2013,,44.5,139.8,44.6,139.9,,,898.7,13.29267987,,00132073*,,,1391567,,,,
950 25th Street Northwest,Multifamily Housing,950 25th Street Northwest,Washington,District of Columbia,DC,20037,,,144466,373216,1960,2013,,47.2,87.2,47.7,87.7,,,1429,40.01355783,0950 25TH ST NW,00160093;00160863,CLARIDGE H COOPERTVE,,3685460,,2,395337.9492,137137.4412
1227 25th Street,Office,"1227 25th Street, NW",Washington,District of Columbia,DC,20037,,,,150905,1988,2013,71,67.7,212.7,67.7,212.7,,,1294.4,13.78218084,,00240886*,,,2809459,,,,
Ivory Tower,Residence Hall/Dormitory,"616 23rd St, NW",Washington,District of Columbia,DC,20052,,,,283531,2004,2013,42,75.4,183.6,75.5,183.7,,,2196.2,53.14903838,,00430026*,,,1415263,,,,416456
2100 Pennsylvania Avenue,Office,2100 Pennsylvania Avenue,Washington,District of Columbia,DC,20037,,,219492,320977,1966,2013,,96.9,247.1,97.7,247.9,,,3455.1,28.19329734,2100 PENNSYLVANIA AV NW,00750861;00750863,GEORGE WASHINGTON UNIVERSITY,,20164,,2,395901.2579,137025.6191
1200 Nineteenth Street Benchmarking,Office,1200 19th St. NW,Washington,District of Columbia,DC,20036,,,,354924,1964,2013,86,59.7,172.1,59.7,172.1,,,2491.5,17.946659,,01160077*,,,3500466,,,,
Thurston and Mitchell Halls,Residence Hall/Dormitory,"519 19th St and 1900 F St, NW",Washington,District of Columbia,DC,20052,,,97233,317213,1929,2013,,65.1,137.8,65.4,138.1,,,1888.2,59.03225908,0514 19TH ST NW,01220824;01220825,GEORGE WASHINGTON UNIVERSITY,,1418471,,2,396188.991,136525.4683
1700 K St NW,Office,1700 K St NW,Washington,District of Columbia,DC,20052,,,,401661,2005,2013,81,59.7,187.2,59.7,187.2,,,3033.6,19.4039252,,01260062*,,,1423276,,,,
The Bachelor Building,Office,"1737 H Street NW,",Washington,District of Columbia,DC,20006,,,,17829,1905,2013,66,56.5,137.3,56.8,137.2,,,102.4,10.96528128,,01270040*,,,3025626,,,,
Archstone Dupont Circle,Multifamily Housing,1616 18th Street NW,Washington,District of Columbia,DC,20009,,,,102490,1961,2013,,69.8,124.9,70.6,125.7,,,565.8,33.59742414,,01340825*,,,3500929,,,,
1301 CONNECTICUT AVENUE,Office,1301 Connecticut Avenue,Washington,District of Columbia,DC,20036,,,,59622,1917,2013,63,73.3,230,73.3,230,,,553.1,54.09915803,,01370059*;01370825*,,,1717883,,,,
Gables DuPont Circle,Multifamily Housing,1750 P St NW,Washington,District of Columbia,DC,20036,,,,91847,1996,2013,,54.5,112,54.8,112.3,,,442.7,41.53864579,,01564019*,,,3685740,,,,
Brunswick House,Multifamily Housing,1414 17th St NW,Washington,District of Columbia,DC,20036,,,,100799,1959,2013,,64.8,112.7,65.6,113.6,,,505.2,32.76421393,,01570867*,,,3495624,,,,
AMERICAN SOCIETY FOR MICROBIOLOGY,Office,1752 N STREET N.W.,Washington,District of Columbia,DC,20036,,,,94580,1979,2013,81,50.2,157.6,50.1,157.4,,,601,7.007824064,,01590090*,,,1369166,,,,
Beacon Hotel & Corporate Quarters,Hotel,"1615 Rhode Island Ave., NW",Washington,District of Columbia,DC,20036,,,159762,130000,1963,2013,33,137.1,268,138,269,,,1513.5,77.98461538,1615 RHODE ISLAND AV NW,0182N0011,1615 LLL LLC,,3510302,,2,,
NGS Headquarters,Office,"1145 17th St, NW and 1600 M Street, NW",Washington,District of Columbia,DC,20036,,,598351,746237,1964,2013,77,89.5,227.7,89.6,227.8,,,7055.7,15.11664525,1145 17TH ST,01830883;01830884,NATIONAL GEOGRAPHIC SOCIETY,,1242253,,2,396695.1255,137476.6085
National Education Association,Office,"1201 16th St., NW",Washington,District of Columbia,DC,22036,,,145254,394087,1957,2013,,68.4,171.7,68.9,172.3,,,3134.8,9.253540462,1525 M ST NW,01960034;01960035,NATIONAL EDUCATION ASSOCIATES,,1268800,,2,396930.5525,137567.3547
1100 15th Street (DDOE),Office,"1100 15th Street, NW",Washington,District of Columbia,DC,20005,,,,154484,1982,2013,77,59.6,187.3,59.6,187.3,,,1166.8,17.90670879,,01970081*,,,3504675,,,,
James Apartments,Multifamily Housing,1425 N St. NW,Washington,District of Columbia,DC,20005,,,,101376,1960,2013,9,101.6,196.2,102.6,197.2,,,897.6,58.05022885,1425 N St. NW,2110856,District of Columbia Housing Authority (DCHA),,4097135,,,,
The Madison,Hotel,1177 15th Street NW,Washington,District of Columbia,DC,20005,,,,287557,1962,2013,52,97.6,225.3,98,225.6,,,2732.4,,,02140854*,,,2992806,,,,
The Folger Building,Office,725 15th Street,Washington,District of Columbia,DC,20005,,,,23338,1906,2013,13,129.1,297.8,130.6,299.3,,,293.2,,,02220019*,,,3394177,,,,
1300 Building,Financial Office,"1300 New York Ave, NW",Washington,District of Columbia,DC,20577,,,,1018508,1982,2013,89,54.6,168.7,54.6,168.7,,,6944.3,11.12882766,,02520085*,,,1214094,,,,
1350 Building,Financial Office,"1350 New York Ave, NW",Washington,District of Columbia,DC,20577,,,,143590,1983,2013,82,56.8,178.2,56.8,178.2,,,1032.2,11.84553242,,02520085*,,,1221854,,,,
The Henry J Kaiser Family Foundation,Office,1330 G ST NW,Washington,District of Columbia,DC,20005,,,,64160,2002,2013,58,85.3,227.6,85.8,228.2,,,65.7,14.01340399,,02530068*,,,2035970,,,,
1210 Massachusetts,Multifamily Housing,1210 Massachusetts Ave NW,Washington,District of Columbia,DC,20005,,,,208720,2004,2013,,25.3,79.3,25.3,79.3,,,667.8,18.9991376,,02830050*,,,3487951,,,,
1201& 1225  New York Ave.,Office,"1201 New York Avenue, NW",Washington,District of Columbia,DC,20005,,,554384,510397,1988,2013,85,57.3,169.2,57.4,169.4,,,3511.2,12.48870977,1201 NEW YORK AV NW,02860818;02860819,1201-1225 NEW YORK AVE SPE LLC,,1346869,,2,397520.7237,137014.5945
Harbourside,Financial Office,2900 K St. NW,Washington,District of Columbia,DC,20007,,,201715,191666,2006,2013,89,44.9,140.9,44.9,140.9,,,1089.4,,901 K STREET NW,03711349;11712893,901 K ST CONDO,,1273462,,2,,
Jamestown Premier 733 10th Street Corp.,Office,"733 10th St, NW",Washington,District of Columbia,DC,20001,,,209664,200265,2011,2013,79,59.2,185.9,59.2,185.9,,,1501.7,12.8814321,733 10TH ST,03750836;03757006,FIRST CONGREGATIONAL UNITED CHURCH OF CHRIST,,3089076,,2,397773.5966,136749.5921
Market Square North,Office,"401 9th Street, NW",Washington,District of Columbia,DC,20004,,,,475190,2000,2013,81,57.1,179.3,57.1,179.3,,,3437.2,23.72735116,,04070815*,,,1436368,,,,
Market Square,Office,"701 and 801 Pennsylvania Avenue, NW",Washington,District of Columbia,DC,20004,,,563727,736052,1990,2013,79,61.4,192.6,61.3,192.6,,,5718.7,22.34842104,801 PENNSYLVANIA AV,04080836;04080837,WELLS REIT II MARKET SQUARE EAST & WEST LLC,,1252352,,2,397964.4978,136301.6479
Gallery Place,Other,616 H. Street,Washington,District of Columbia,DC,20001,,,103908,590688,2004,2013,38,131.3,371.6,131.5,372.1,,,8976.1,45.78897828,0616 H ST,04550842;04557001,GALLERY PLACE LAND TRUST,,2675356,,2,398167.6451,136813.3441
Penn Quarter Project,Other,616 E Street NW,Washington,District of Columbia,DC,20001,,,161624,807961,1980,2013,,27.6,62.8,27.8,63.1,,,2145.4,,0031 D ST NW,04573066;04573067,THE LAFAYETTE @ PENN QUARTER,3859338,3859338,Penn Quarter Project,6,,
Woolley Mammoth Theater,Performing Arts,616 E Street NW,Washington,District of Columbia,DC,20001,,,161624,37815,1980,2013,,,,,,,,0,,0031 D ST NW,04573066;04573067,THE LAFAYETTE @ PENN QUARTER,3859338,3859478,Penn Quarter Project,6,,
Clara Barton Condo Building,Multifamily Housing,616 E Street NW,Washington,District of Columbia,DC,20001,,,161624,341643,2005,2013,,,,,,,,0,,0031 D ST NW,04573066;04573067,THE LAFAYETTE @ PENN QUARTER,3859338,3859479,Penn Quarter Project,6,,
