Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,,,,
"Energy and water use metrics for large buildings in calendar year 2015, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,,,,
"September 28, 2016",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),Tax Parcel,Years Reported
711 Atlantic Holdings,Yes,Office,711 Atlantic ,02108,91464,0.3,100,,Office,1900,1.7,0.0,32001,,100%,,,,0304309000,"2014, 2015, 2016"
71-77 Summer,Yes,Office,71-77 Summer St.,02110,62622,54.9,75,,Office,1901,332.5,5.3,3436448,100%,,,17.1,,0304561000 0304562000,"2014, 2015, 2016"
719 Washington Street,Municipal,Other,719 Washington Street,02124,1428,0.6,Not Available,,Other,2000,0.1,0.1,911,100%,,,,,Not Available,2016
72 K St,Yes,Office,72 K Street,02127,4200,47.8,Not Available,,Office,1900,13.9,3.3,200928,36%,64%,,4.0,,0603405060,"2014, 2015, 2016"
722-728 Commonwealth Avenue,Yes,Residence Hall/Dormitory,722-728 Commonwealth Avenue,02215,87469,95.9,79,,Residence Hall/Dormitory,1974,487.8,5.6,8391874,11%,89%,,66.1,,Not Available,"2014, 2015, 2016"
73 Tremont St,Yes,Office,73 Tremont St,02108,303975,75.9,70,,Office Other - Education Parking,1898,2232.6,7.3,23077611,100%,,,15.2,,0304675000,"2014, 2015, 2016"
730-732 Commonwealth Avenue,Yes,Laboratory,730-732 Commonwealth Avenue,02215,46022,477.5,Not Available,,Laboratory Parking,1990,1332.4,29.0,21975701,17%,83%,,13.8,,Not Available,2016
745 Atlantic Ave,Yes,Office,745 Atlantic Ave,02111,194417,75.8,64,,Office Parking,1988,1426.5,7.3,14745241,100%,,,5.2,,0305355000,"2014, 2015, 2016"
745-755 Commonwealth Avenue,Yes,College/University,745-755 Commonwealth Avenue,02215,114978,254.2,Not Available,,College/University,1947,1903.1,16.6,29226603,28%,72%,,1.7,,25887291000,"2014, 2015, 2016"
75 Amory LLC,Yes,Office,75 Amory Street,02119,36000,Not Available,Not Available,,Office,1900,Not Available,0.0,Not Available,,,,7.1,,Not Available,2016
75 Arlington Street,Yes,Office,75 Arlington Street,02116,269327,47.3,98,,Office Other Restaurant,1913,995.8,3.7,12745276,57%,43%,,9.8,,0501151000,"2014, 2015, 2016"
75 Clarendon Street Condo Trust,Yes,Multifamily Housing,c/o Barkan Management,02210,46100,56.8,35,,Multifamily Housing,1000,226.6,4.9,2617539,77%,23%,,36.4,,0501048000,"2015, 2016"
75 Kneeland St,Yes,Office,75 Kneeland St,02111,226320,105.7,61,,Office Restaurant,1928,1824.1,8.1,23917320,53%,47%,,14.3,,0305237000,"2014, 2015, 2016"
75 State Street,Yes,Mixed Use Property,75 State Street,02109,813261,64.3,89,,Financial Office Office Other Other - Restaurant/Bar Parking Retail Store,1987,5062.5,6.2,52328094,100%,,,12.3,,0303860000,"2014, 2015, 2016"
750 Commonwealth Avenue,Yes,Not Available,Boston University,02215,Not Available,Not Available,Not Available,,,2013,0.0,Not Available,Not Available,,,,,,Not Available,2016
750 Harrison Avenue,Yes,Medical Office,750 Harrison Avenue,02118,56487,216.5,8,,Medical Office,1918,929.1,16.4,12231550,31%,,69%,26.4,,Not Available,"2014, 2015, 2016"
75-101 Federal Street,Yes,Office,75-101 Federal Street,02110,888478,66.6,76,,Bank Branch Office Parking,1929,5605.5,6.3,59140435,94%,1%,6%,12.9,,0304199,"2014, 2015, 2016"
"755 Boylston, LLC",Yes,Multifamily Housing,755 Boylston Street,02116,54384,69.6,Not Available,,Multifamily Housing Restaurant,1860,312.8,5.8,3787546,68%,32%,,18.5,,0503207200,"2015, 2016"
75-85 East Newton Street (Evans)  E Building,Yes,Laboratory,75 East Newton Street,02118,180366,239.6,Not Available,,Laboratory,1972,3561.8,19.7,43219016,53%,0%,47%,58.4,,Not Available,"2014, 2015, 2016"
765 Commonwealth Avenue,Yes,College/University,765 Commonwealth Avenue,02215,167671,174.3,Not Available,,College/University,1964,1903.1,11.4,29226603,28%,72%,,1.1,,25887291000,"2014, 2015, 2016"
771 Commonwealth Avenue,Yes,Library,771 Commonwealth Avenue,02215,218657,133.7,Not Available,,Library,1966,1903.1,8.7,29226603,28%,72%,,0.9,,25887291000,"2014, 2015, 2016"
775 Commonwealth Avenue,Yes,College/University,775 Commonwealth Avenue,02215,202105,156.8,Not Available,,College/University,1963,2034.2,10.1,31693521,25%,75%,,49.0,,25887291000,"2014, 2015, 2016"
778-780 Harrison Avenue R (10 Stoughton),Yes,Laboratory,780 Harrison Avenue,02118,120633,187.7,Not Available,,Laboratory,1959,2190.5,18.2,22642027,100%,0%,0%,44.3,,Not Available,"2014, 2015, 2016"
785 Commonwealth Avenue (1 University Road),Yes,College/University,785 Commonwealth Avenue (1 University Road),02215,54767,145.1,Not Available,,College/University,1931,522.2,9.5,7948782,29%,71%,,12.4,,2100392000,"2014, 2015, 2016"
790 Harrison Ave (71 East Concord) K Building,Yes,Laboratory,790 Harrison Ave (71 East Concord),02118,77861,301.4,Not Available,,Laboratory,1904,1851.8,23.8,23464828,41%,0%,59%,50.0,,0801420010,"2014, 2015, 2016"
8 Norwell St S&W,Yes,Not Available,8 Norwell St,02121,Not Available,Not Available,Not Available,,,1900,0.0,Not Available,Not Available,,,,,,Not Available,2016
80 Boylston St./ The Little Building,Yes,Residence Hall/Dormitory,80 Boylston Street,02116,216877,Not Available,Not Available,,Residence Hall/Dormitory,1917,0.0,0.0,Not Available,,,,,,0500001001,"2014, 2015, 2016"
80 K St,Yes,Office,80 K Street,02127,7200,43.3,93,,Office,1900,21.5,3.0,312002,36%,64%,,1.2,,0603405060,"2014, 2015, 2016"
801 Albany Street,Yes,Office,801 Albany Street ,02118,43000,52.9,Not Available,,Office,1970,152.2,3.5,2276456,31%,69%,,0.1,,Not Available,2016
803 Summer Street,Yes,Office,803 Summer Street,02127,36000,33.9,98,,Office,1986,97.3,2.7,1220403,61%,39%,,4.4,,0603405050,2016
808 Commonwealth Avenue,Yes,Museum,808 Commonwealth Avenue,02215,199176,93.3,Not Available,,Museum Parking,1928,1173.0,5.9,18586484,23%,77%,,8.3,,Not Available,2016
815 Albany Street,Yes,Multifamily Housing,815 Albany Street,02119,102283,97.5,5,,Multifamily Housing,2012,693.9,6.8,9967799,38%,62%,,40.5,,0802041010,"2014, 2015, 2016"
82 Devonshire St,Yes,Office,55 Congress St,02109,282995,Not Available,Not Available,,Office,1974,Not Available,Not Available,Not Available,,,,,,03882000,"2014, 2015, 2016"
82 East Concord Street (715 Albany Street),Yes,Medical Office,82 East Concord Street,02118,82153,68.1,80,,Medical Office,1876,454.5,5.5,5595895,47%,,47%,16.3,,0801418000,"2014, 2015, 2016"
82 South Huntington,Yes,Multifamily Housing,82 South Huntington Avenue,02130,80000,Not Available,Not Available,,Multifamily Housing,1969,Not Available,Not Available,Not Available,,,,,,Not Available,"2015, 2016"
83 Ivy Street,Yes,Multifamily Housing,83 Ivy Street,02446,39700,0.3,100,,Multifamily Housing,1981,1.2,0.0,12714,100%,,,,,Not Available,2016
830-846 Commonwealth Avenue,Yes,Strip Mall,830-846 Commonwealth Avenue,02446,36153,35.5,Not Available,,Strip Mall,1966,100.6,2.8,1284315,23%,4%,,6.5,,Not Available,2016
84 State Street,Yes,Office,84 State Street,02109,133208,55.6,89,,Office Other Restaurant,1902,668.2,5.0,7408423,71%,,,11.0,,0303680-000,"2014, 2015, 2016"
85 E. India Row,Yes,Multifamily Housing,85 E. India Row,02110,406928,96.9,16,,Multifamily Housing,1900,2485.6,6.1,39443461,23%,77%,,20.8,,0302975000,2016
855 Boylston Street-Gateway Longwood,Yes,Office,855 Boylston,02116,155775,63.4,80,,Office Parking Retail Store,1985,955.4,6.1,9875010,100%,,,8.2,,03134-000,"2014, 2015, 2016"
855 Commonwealth Avenue,Yes,College/University,855 Commonwealth Avenue,02215,207318,90.8,Not Available,,College/University,1919,1271.0,6.1,18834614,33%,67%,,0.8,,2100397000,"2014, 2015, 2016"
856-862 Beacon Street,Yes,Multifamily Housing,856-862 Beacon Street,02215,35364,127.4,17,,Multifamily Housing,1985,254.0,7.2,4504116,8%,92%,,8.0,,Not Available,"2014, 2015, 2016"
87 Summer Street,Yes,Office,87 Summer Street,02110,27610,98.5,64,,Office,1877,182.7,6.6,2720892,32%,68%,,414.7,,Not Available,2016
871 Commonwealth Avenue,Yes,College/University,871 Commonwealth Avenue,02215,95968,155.7,Not Available,,College/University,1926,894.6,9.3,14943807,15%,85%,,7.9,,2100398000,"2014, 2015, 2016"
88 Black Falcon,Yes,Non-Refrigerated Warehouse,88 Black Falcon Ave.,02210,376447,68.9,66,,Non-Refrigerated Warehouse Office,1910,2174.4,5.8,25946279,70%,30%,,4.9,,02674-016,"2014, 2015, 2016"
881 Commonwealth Avenue,Yes,Office,881 Commonwealth Avenue,02215,107773,186.8,16,,Medical Office Office,1915,1387.3,12.9,20129046,36%,64%,,13.9,,2100399000,"2014, 2015, 2016"
882-888 Commonwealth Avenue,Yes,Office,882-888 Commonwealth Avenue,02446,99352,24.1,100,,Office,1921,180.0,1.8,2394158,51%,49%,,75.7,,Not Available,2016
890 Commonwealth Avenue,Yes,College/University,890 Commonwealth Avenue,02446,57471,87.5,Not Available,,College/University Parking,1995,445.4,7.7,5026858,81%,19%,,16.0,,Not Available,2016
90 Seattle St,Yes,Retail Store,90 Seattle Street,02134,36572,45.2,98,,Retail Store,2005,100.5,2.7,1651988,18%,82%,,,,2200181000,2016
900-940 Commonwealth Avenue,Yes,Other - Education,900-940 Commonwealth Avenue,02446,233000,4.3,Not Available,,Other - Education,1991,73.1,0.3,1001117,46%,54%,,,,Not Available,2016
91 Bay State Road,Yes,Residence Hall/Dormitory,91 Bay State Road,02215,118821,91.2,59,,Residence Hall/Dormitory,1923,706.8,5.9,10833372,28%,72%,,44.9,,0503743000,"2014, 2015, 2016"
910 Commonwealth Avenue,Yes,Office,910 Commonwealth Avenue,02446,45500,42.9,99,,Office,1950,159.3,3.5,1952371,33%,,,3.4,,Not Available,2016
915 Commonwealth Avenue,Yes,Fitness Center/Health Club/Gym,915 Commonwealth Avenue,02215,286901,129.2,Not Available,,Fitness Center/Gym,2004,2716.7,9.5,37068652,46%,54%,,2.7,,2100401000,"2014, 2015, 2016"
921 Boylston St.,Yes,College/University,921 Boylston Street,02115,58390,86.4,Not Available,,College/University,1950,391.9,6.7,5043796,56%,44%,,9.4,,Not Available,"2014, 2016"
925 Commonwealth Avenue,Yes,Indoor Arena,925 Commonwealth Avenue,02215,303285,98.2,Not Available,,Indoor Arena Parking,2004,2329.1,7.7,29771123,58%,42%,,2.5,,2100401000,"2014, 2015, 2016"
960 Mass Ave.,Yes,Other,960 Massachusetts Ave,02118,77000,56,Not Available,,Other,1920,305.9,4.0,4311114,41%,59%,,6.8,,Not Available,"2014, 2015, 2016"
9673r-Renaissance Boston Waterfront,Yes,Hotel,606 Congress Street,02210,405633,123.1,45,,Hotel,2008,3558.7,8.8,49924213,42%,58%,,35.1,,3351813,"2015, 2016"
98 N. Washington Street,Yes,Office,98 N. Washington Street,02114,80528,45.4,91,,Office Parking,1986,315.3,3.9,3652344,76%,24%,,10.1,,0301518000,"2015, 2016"
983-985 Commonwealth Avenue,Yes,Office,983-985 Commonwealth Avenue,02215,36865,423.2,1,,Office,1981,956.4,25.9,15601963,19%,81%,,5.0,,Not Available,"2014, 2015, 2016"
99 Bedford Street,Yes,Office,99 Bedford Street,02111,93779,71.1,85,,Office,1874,518.0,5.5,6663746,56%,44%,,6.6,,0304245000,"2014, 2015, 2016"
99 Chauncy Street,Yes,Office,99 Chauncy Street,02111,108106,54.6,94,,Office,1968,459.0,4.2,5907220,56%,44%,,6.9,,0304504000,"2014, 2015, 2016"
99 Chestnut Hill Park,Yes,Multifamily Housing,99 Chestnut Hill Park,02135,57949,50.2,78,,Multifamily Housing,2005,211.2,3.6,2908399,45%,55%,,29.8,,2204946000,"2015, 2016"
99 High Street,Yes,Office,99 High Street,02110,731205,79.7,88,,Bank Branch Office Other - Restaurant/Bar Parking,1969,4533.7,6.2,58310015,56%,44%,,13.1,,0304390000,"2014, 2015, 2016"
99 Summer Street,Yes,Office,99 Summer Street,02110,291332,53.3,88,,Office Parking,1987,1448.9,5.0,15532506,92%,8%,,13.2,,Not Available,"2014, 2016"
A-01 Station,Municipal,Police Station,40 NEW SUDBURY ST,02114,37433,161.5,Not Available,,Police Station,2000,418.6,11.2,6044765,37%,63%,,,,Not Available,2016
A-07 Station,Municipal,Police Station,69 Paris St,02128,16194,149.2,Not Available,,Police Station,2000,164.9,10.2,2416514,35%,65%,,,,Not Available,2016
A-15 Station,Municipal,Police Station,20 Vine St,02129,20000,87.4,Not Available,,Police Station,2000,138.3,6.9,1747053,60%,40%,,,,Not Available,2016
ABRAHAM LINCOLN,Municipal,K-12 School,152 Arlington St.,02116,80364,41.4,99,,K-12 School,1911,202.4,2.5,3324812,18%,82%,,,,Not Available,2016
Academy Homes I,Yes,Multifamily Housing,1592 Columbus Ave,02119,365000,58,99,,Multifamily Housing,1962,1206.8,3.3,21186310,9%,91%,,42.5,,1100916001,2016
Academy Training,Municipal,Police Station,85 Williams Ave,02136,59500,43.3,Not Available,,Police Station,2000,55.9,0.9,2575808,22%,,,,,Not Available,2016
Activities Building,Yes,College/University,180 Riverway,02215,98044,60.5,Not Available,,College/University,1967,500.4,5.1,5929954,72%,28%,,26.0,,0402000000,"2014, 2015, 2016"
Acura of Boston,Yes,Automobile Dealership,1600 Soldiers Field Rd,02135,42389,15763.6,Not Available,,Automobile Dealership,1960,64541.6,1522.6,668204064,100%,0%,,20.4,,2202755000,2016
ADAMS,Municipal,K-12 School,165 Webster St.,02128,41336,47.7,99,,K-12 School,1910,118.3,2.9,1971693,16%,84%,,,,Not Available,2016
Adams Court-A,Yes,Multifamily Housing,415 River Street,02126,48580,58.5,84,,Multifamily Housing Parking,1965,182.6,3.8,2843801,25%,75%,,58.5,,1801010000 1801012000,"2015, 2016"
Adams Street Branch,Municipal,Library,690 Adams St,02122,7189,75.4,Not Available,,Library,2000,35.2,4.9,542055,27%,73%,,,,Not Available,2016
Administration Building/Wilkens Science Center,Yes,College/University,400 The Fenway,02115,166153,170.6,Not Available,,College/University Data Center Parking,1919,1985.9,12.0,28347217,39%,61%,,20.1,,0401847000,"2014, 2015, 2016"
African American Museum,Municipal,Museum,46 Joy St,02114,4500,Not Available,Not Available,,Museum,2000,0,0,Not Available,,,,,,Not Available,2016
AGASSIZ,Municipal,K-12 School,20 Child St.,02130,115400,89.8,57,,K-12 School,1972,625.1,5.4,10362895,17%,83%,,,,Not Available,2016
Albert A. Pope Condominium Trust,Yes,Not Available,221 Columbus Ave,02116,Not Available,Not Available,Not Available,,,1891,Not Available,Not Available,Not Available,,,,,,Not Available,2016
Aldrich Hall,Yes,College/University,35 Harvard Way,02163,105818,62.9,Not Available,,College/University,1953,537.1,5.1,6657343,47%,,53%,21.9,,2200530000,"2014, 2015, 2016"
Alger Street Realty LLC,Yes,Other - Services,4 Alger Street,02127,98882,85.7,Not Available,,Other - Services,1947,632.4,6.4,8472959,49%,51%,,1.6,,0700027000,"2014, 2015, 2016"
ALIGHIERI,Municipal,K-12 School,37 Gove St.,02128,16948,58.1,100,,K-12 School,1924,54,3.2,985371,4%,96%,,,,Not Available,2016
Allerton: 65 Allerton Street,Yes,Office,65 Allerton Street,02119,72087,105.5,25,,Office,2000,688.3,9.5,7608704,86%,14%,,70.9,,0800962000,"2014, 2015, 2016"
Alumnae Hall,Yes,College/University,321R Brookline Avenue,02115,7600,276,Not Available,,College/University,1905,177.1,23.3,2097638,72%,28%,,,,0402012000,"2015, 2016"
Amiff Housing: Amiff-ALH,Yes,Multifamily Housing,64 American Legion Highway,02124,87660,94.9,35,,Multifamily Housing,1971,481.7,5.5,8317864,11%,89%,,57.5,,1404246000,"2015, 2016"
Amory Terrace,Yes,Multifamily Housing,20 Amory Avenue,02119,64085,27.6,100,,Multifamily Housing Parking,2005,155.3,2.4,1768806,79%,21%,,64.8,,11012010101101202010,"2015, 2016"
Amy Lowell House: 65 Martha Road,Yes,Multifamily Housing,65 Martha Rd,02114,115000,75.6,40,,Multifamily Housing,1975,634.1,5.5,8699361,45%,55%,,44.4,,0300465000,"2015, 2016"
Andrew Dutton Co,Yes,Office,60 Canal St,02114,39000,72.2,88,,Office,1895,210.2,5.4,2814773,49%,51%,,4.8,,Not Available,2016
Animal Control Shelter,Municipal,Other,26 Mahler Rd,02131,10000,216.4,Not Available,,Other,2000,136.7,13.7,2163790,23%,77%,,,,Not Available,2016
Ansin Building,Yes,College/University,180 Tremont St,02116,98744,Not Available,Not Available,,College/University,1931,Not Available,0.0,Not Available,,,,12.0,,0304890100,"2014, 2015, 2016"
Anti Corruption,Municipal,Police Station,1960 Washington St,02118,4200,56.6,Not Available,,Police Station,2000,17.5,4.2,237733,47%,53%,,,,Not Available,2016
Arborway Gardens Condominium,Yes,Multifamily Housing,"461, 463, 467, 469, 493, 495 Arborway, ",02130,150172,94.7,50,,Multifamily Housing,1950,808.1,5.4,14220077,9%,91%,,27.4,,1102640000,"2015, 2016"
Archer/Donahue,Yes,College/University,41 Temple Street,02114,175791,134.2,Not Available,,College/University,1920,1780.4,10.1,23592910,34%,0%,56%,10.7,,Not Available,"2014, 2016"
Archives Building,Municipal,Non-Refrigerated Warehouse,201 Rivermoor St,02132,119454,70.1,10,,Non-Refrigerated Warehouse,2000,683.1,5.7,8370471,65%,35%,,,,Not Available,2016
Arlington Boylston,Yes,Office,330-350 Boylston Street,02116,63054,93.7,62,,Office Other Retail Store,1899,438.8,7.0,5909392,34%,20%,46%,9.6,,0501167000,"2014, 2015, 2016"
Armenian Nursing and Rehabilitation Center,Yes,Residential Care Facility,431 Pond St ,02130,38240,84.8,Not Available,,,1958,154.3,4.0,3244455,,90%,,47.2,,1902312000,2016
Armenise,Yes,Laboratory,210 Longwood Ave,02115,133645,209.5,Not Available,,Laboratory,1905,1978.5,14.8,27996487,28%,,40%,46.1,,0401882000,"2014, 2015, 2016"
Arnold Hall,Yes,College/University,78 Pilgrim Road,02115,22000,113.5,Not Available,,College/University,1951,166.7,7.6,2497164,31%,69%,,31.2,,0402013000,"2015, 2016"
Arthur J. Hurley Co.,Yes,Distribution Center,2500 Washington Street,02119,50000,17.6,94,,Distribution Center,1967,46.7,0.9,879717,0%,100%,,2.9,63.7,01247-000,"2014, 2015, 2016"
Artists,Yes,Multifamily Housing,300 Summer Street,02210,85000,45.5,69,,Multifamily Housing,1950,278.0,3.3,3868922,43%,57%,,13.8,,0602696002,"2015, 2016"
ARTS ACADEMY,Municipal,K-12 School,174 Ipswich St.,02215,129800,67.2,63,,K-12 School,1998,588.8,4.5,8718806,33%,67%,,,,Not Available,2016
Ashmont Hill LLC,Yes,Senior Care Community,321 Centre Street,02122,46952,204.2,12,,Senior Care Community,1953,621.5,13.2,9589095,27%,73%,,83.7,,1601072000,2016
Asian Healthcare Foundation of Massachusetts,Yes,Office,145 South Street,02111,42000,63.8,93,,Office,1895,215.7,5.1,2679364,63%,37%,,13.9,,0304325000,2016
"Asian,Kennedy,Smith Campus",Yes,College/University,"125,129,131 Hemenway street",02115,110798,84.4,Not Available,,College/University,1903,583.1,5.3,9353747,21%,79%,,34.4,,Not Available,"2014, 2015, 2016"
Atelier 505,Yes,Multifamily Housing,505 Tremont St,02116,224000,91.6,4,,Multifamily Housing,2004,1462.8,6.5,20518840,42%,58%,,28.6,,0500815020,2016
Atlantic Wharf,Yes,Office,280 Congress St.,02210,840913,79.2,90,,Data Center Office Parking Restaurant,2010,5755.8,6.8,66574999,76%,24%,,11.9,,0302952018 0302952020 0302952022 0302952024,"2014, 2015, 2016"
Audubon Park Condo Trust,Yes,Multifamily Housing,24 Farnsworth Street,02210,126660,18.6,100,,Multifamily Housing,1000,173.7,1.4,2356633,47%,53%,,9.4,,2100167000,"2015, 2016"
Avenir,Yes,Multifamily Housing,101 Canal St.,02114,335514,52.6,78,,Multifamily Housing Parking Retail Store,2009,1331.3,4.0,17637227,51%,49%,,30.7,,0301570001,"2015, 2016"
B-02 Station,Municipal,Police Station,2400 Washington St,02119,34500,120.2,Not Available,,Police Station,2000,309.2,9,4146747,49%,51%,,,,Not Available,2016
B-03 Station,Municipal,Police Station,1163 Blue Hill Ave,02124,15000,193.3,Not Available,,Police Station,2000,201.3,13.4,2899343,37%,63%,,,,Not Available,2016
Babcock Tower,Yes,Multifamily Housing,270 Babcock Street,02215,155384,88.1,8,,Multifamily Housing Parking,1972,1147.0,7.4,13693130,70%,30%,,44.8,,2100470000,"2015, 2016"
Back Bay Maitenence,Municipal,Other,440 Park Dr,02215,10822,58.2,Not Available,,Other,2000,40.7,3.8,629699,27%,73%,,,,Not Available,2016
Back of the Hill Apartments L.P.,Yes,Multifamily Housing,100 South Huntington Avenue ,02130,119531,60.4,79,,Multifamily Housing,1978,473.2,4.0,7223556,28%,72%,,37.8,,1001490000,"2015, 2016"
Baker Chocolate Factory,Yes,Multifamily Housing,1220 Adams Street,02124,105620,65.5,77,,Multifamily Housing,1980,452.7,4.3,6913899,28%,72%,,20.8,,1703661000,"2015, 2016"
Baker Library,Yes,Library,25 Harvard Way,02163,157820,82.1,Not Available,,Library,1927,986.3,6.2,12964392,32%,,68%,25.5,,2200530000,"2014, 2015, 2016"
Baker Square,Yes,Multifamily Housing,1241 Adams Street,02124,229178,64.1,54,,Multifamily Housing,1000,1020.0,4.5,14698580,37%,63%,,29.8,,1704031010,"2015, 2016"
BALDWIN,Municipal,K-12 School,121 Corey Road,02135,27777,48.6,98,,K-12 School,1926,82.5,3,1349062,18%,82%,,,,Not Available,2016
Bancroft,Yes,Multifamily Housing,119-127 Sutherland,02135,30600,80.3,86,,Multifamily Housing,1920,146.8,4.8,2457026,15%,85%,,360.1,,2102155000,"2015, 2016"
Barnes School Apartments LLc,Yes,Residence Hall/Dormitory,127 Marion Street,02128,141016,44.7,88,,Parking Residence Hall/Dormitory,1900,451.0,3.2,6309563,42%,58%,,11.3,,0105980000,"2015, 2016"
BARRON,Municipal,K-12 School,515 Hyde Park Ave.,02131,14700,65.7,69,,K-12 School,1969,73.8,5,965694,53%,47%,,,,Not Available,2016
Bartol Hall,Yes,College/University,84 Pilgrim Road,02115,25400,159.8,Not Available,,College/University,1953,268.8,10.6,4059728,30%,70%,,93.0,,0402012000,"2015, 2016"
Basilica Leasehold Condominium Trust: Basilica Condominium,Yes,Multifamily Housing,106 13th Street,02129,80000,93.9,15,,Multifamily Housing,1986,506.3,6.3,7508658,33%,67%,,35.1,,0203510175,"2015, 2016"
BATES,Municipal,K-12 School,426 Beech St.,02131,27936,79.3,85,,K-12 School,1929,131.6,4.7,2214682,14%,86%,,,,Not Available,2016
Batten Hall,Yes,College/University,125 Western Avenue,02163,77029,75.7,Not Available,,College/University,1963,424.4,5.5,5828694,45%,55%,,23.7,104901,2200500000,"2014, 2015, 2016"
Battery Wharf Master Condo Assoc,Yes,Multifamily Housing,Battery Wharf Master Condominium Association,02109,298723,52.7,100,,Multifamily Housing,2007,972.7,3.3,15738306,20%,80%,,34.4,,0303041300,"2014, 2015, 2016"
Bay Cove Human Services,Yes,Office,157-159 Friend Street,02114,54893,53.3,94,,Office Urgent Care/Clinic/Outpatient,1899,231.7,4.2,2925495,60%,40%,,1520.8,,0301612000,"2014, 2015, 2016"
Bay State Realty,Yes,Financial Office,88 Broad Street,02110,63680,Not Available,Not Available,,Financial Office,1924,Not Available,Not Available,Not Available,,,,,,03983-000,"2014, 2015, 2016"
Bayside Merchandise Mart,Yes,Office,150 Mt. Vernon Street,02125,159732,83.3,33,,College/University Office Parking,1984,1287.0,8.1,13303216,100%,,,,,1303448200,"2014, 2015, 2016"
"BCA Cyclo, Mills, CP Casting & CMC",Yes,Other,537 Tremont Street,02116,83750,37.8,Not Available,,Other,1884,217.0,2.6,3166640,35%,65%,,666.7,,0500818000,"2014, 2016"
"BCA Studio, Beehive & Banyan",Yes,Performing Arts,551 Tremont St,02116,43869,117.9,Not Available,,Performing Arts,1884,282.3,6.4,5171362,3%,97%,,5.2,,0500819000,2016
BE Realty,Yes,Office,133 Federal St,02110,127689,141.7,34,,Office Restaurant,1960,1438.0,11.3,18096425,43%,,57%,12.8,,Not Available,"2014, 2015, 2016"
Beach Street Garage,Yes,Parking,14-40 Beach Street,02111,4338,179.3,Not Available,,Parking Retail Store,1925,75.3,17.3,777916,100%,,,120.5,,Not Available,2016
Beacon Hill House,Yes,Multifamily Housing,122 Bowdoin Street,02108,39800,138.2,Not Available,,Multifamily Housing Retail Store,1890,327.4,8.2,5500069,15%,85%,,6195.9,,0302813000,2016
Beacon House Rogerson LP,Yes,Other - Lodging/Residential,19 Myrtle Street ,02114,77770,29.9,Not Available,,Other - Lodging/Residential,1986,224.7,2.9,2322857,100%,,,50.1,,0300168000,"2015, 2016"
Beacon Towers Condominium,Yes,Multifamily Housing,479-483 Beacon St,02115,70000,78.7,60,,Multifamily Housing,1890,355.9,5.1,5506030,26%,74%,,35.6,,503644000,"2015, 2016"
Bec Site Office,Municipal,Other,2201 Washington St,02119,14116,9.1,Not Available,,Other,2000,12.4,0.9,127759,100%,,,,,Not Available,2016
Beck Southend Trust,Yes,Other,49-59 Wareham St.,02118,57072,54.6,Not Available,,Other,1900,184.6,3.2,3118632,14%,86%,,5.7,,0801136000,"2014, 2015, 2016"
BEETHOVEN,Municipal,K-12 School,5125 Washington St.,02132,37452,72.4,87,,K-12 School,1925,163.3,4.4,2710015,16%,84%,,,,Not Available,2016
Belgrade Place LLC,Yes,Multifamily Housing,446 Belgrade Ave,02132,43716,58.5,62,,Multifamily Housing Parking,2012,202.9,4.6,2556418,60%,40%,,28.2,,Not Available,"2015, 2016"
"Belvedere Condo Trust, The",Yes,Multifamily Housing,100 Belvedere Street,02199,165000,22.7,99,,Multifamily Housing,1900,350.6,2.1,3750047,93%,7%,,,,0401037600,2016
Benjamin Healthcare Center,Yes,Mixed Use Property,120 Fisher Avenue,02120,180,Not Available,Not Available,,K-12 School Parking Senior Care Community,1927,Not Available,Not Available,Not Available,,,,,,1001342000,"2014, 2015, 2016"
Beren Tennis Pavilion,Yes,Other - Recreation,71 North Harvard Street,02134,6117,221.4,Not Available,,Other - Recreation,1899,131.0,21.4,1354117,100%,,,21.3,,2200533000,"2014, 2015, 2016"
BIDMC East && West Campus,Yes,Hospital (General Medical & Surgical),330 Brookline Ave.,02215,2497517,323.6,20,,Hospital (General Medical & Surgical) Laboratory Parking,1975,56617.9,22.7,808281516,28%,0%,45%,26.4,,0401862000 0401861000 0401944000 0401954000 0401964001 0401942000,"2014, 2015, 2016"
BIDMC Research North,Yes,Laboratory,95 Brookline Ave,02215,114681,370.8,Not Available,,Laboratory,1994,3107.8,27.1,42520834,46%,54%,,48.0,,2100067000,"2014, 2015, 2016"
Biomedical Research and Public Health Building,Yes,Laboratory,136 Harrison Avenue,02111,290327,311.4,Not Available,,College/University Laboratory,1940,7142.2,24.6,90403557,42%,0%,58%,39.6,,"305251000,305254000,305253000,  305252000","2014, 2015, 2016"
