Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,electricity,3.1400,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,natural gas,1.0500,,,,,
"Energy and water use metrics for large buildings in calendar year 2015, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,electricity solar,1.0000,,,,,
"September 28, 2016",,,,,,,,,,,,,,,,,steam,1.2000,,,,,
,,,,,,,,,,,,,,,,,source:,https://portfoliomanager.zendesk.com/hc/en-us/articles/216670148-What-are-the-Site-to-Source-Conversion-Factors-,,,,,
90 Seattle St,Yes,Retail Store,90 Seattle Street,02134," 36,572 ",45.2,98,,Retail Store,2005,100.5,2.7," 1,651,988 ",18%,82%,,,,,,2200181000,2016,2356064.8577
900-940 Commonwealth Avenue,Yes,Other - Education,900-940 Commonwealth Avenue,02446,233000,4.3,Not Available,,Other - Education,1991,73.1,0.3,1001117.3,46%,54%,,,,"
",,Not Available,2016,2013647.3372
91 Bay State Road,Yes,Residence Hall/Dormitory,91 Bay State Road,02215,118821,91.2,59,2013,Residence Hall/Dormitory,1923,706.8,5.9,10833372.2,28%,72%,,44.9,,,,0503743000,"2014, 2015, 2016",17714730.2214
910 Commonwealth Avenue,Yes,Office,910 Commonwealth Avenue,02446,45500,42.9,99,,Office,1950,159.3,3.5,1952371.2,33%,,,3.4,,"
",,Not Available,2016,2023047.0374
915 Commonwealth Avenue,Yes,Fitness Center/Health Club/Gym,915 Commonwealth Avenue,02215,286901,129.2,Not Available,,Fitness Center/Gym,2004,2716.7,9.5,37068652,46%,54%,,2.7,,,,2100401000,"2014, 2015, 2016",74559886.6328
921 Boylston St.,Yes,College/University,921 Boylston Street,02115," 58,390 ",86.4,Not Available,,College/University,1950,391.9,6.7," 5,043,796 ",56%,44%,,9.4,,,,Not Available,"2014, 2016",11199243.5282
925 Commonwealth Avenue,Yes,Indoor Arena,925 Commonwealth Avenue,02215,303285,98.2,Not Available,,"Indoor Arena, Parking",2004,2329.1,7.7,29771122.5,58%,42%,,2.5,,,,2100401000,"2014, 2015, 2016",67348233.3195
960 Mass Ave.,Yes,Other,960 Massachusetts Ave,02118," 77,000 ",56,Not Available,,Other,1920,305.9,4.0," 4,311,114 ",41%,59%,,6.8,,,,Not Available,"2014, 2015, 2016",8220864.0494
9673r-Renaissance Boston Waterfront,Yes,Hotel,606 Congress Street,02210," 405,633 ",123.1,45,,Hotel,2008,3558.7,8.8," 49,924,213 ",42%,58%,,35.1,,,,3351813,"2015, 2016",96243897.6286
98 N. Washington Street,Yes,Office,98 N. Washington Street,02114," 80,528 ",45.4,91,,"Office, Parking",1986,315.3,3.9," 3,652,344 ",76%,24%,,10.1,,,,0301518000,"2015, 2016",9636344.4096
983-985 Commonwealth Avenue,Yes,Office,983-985 Commonwealth Avenue,02215,36865,423.2,1,,Office,1981,956.4,25.9,15601962.6,19%,81%,,5.0,,,,Not Available,"2014, 2015, 2016",22577600.0785
99 Bedford Street,Yes,Office,99 Bedford Street,02111," 93,779 ",71.1,85,"2015, 2012",Office,1874,518.0,5.5," 6,663,746 ",56%,44%,,6.6,,,,0304245000,"2014, 2015, 2016",14796182.5066
99 Chauncy Street,Yes,Office,99 Chauncy Street,02111," 108,106 ",54.6,94,,Office,1968,459.0,4.2," 5,907,220 ",56%,44%,,6.9,,,,0304504000,"2014, 2015, 2016",13116390.6219
99 Chestnut Hill Park,Yes,Multifamily Housing,99 Chestnut Hill Park,02135," 57,949 ",50.2,78,,Multifamily Housing,2005,211.2,3.6," 2,908,399 ",45%,55%,,29.8,,Estimated Floor area,,2204946000,"2015, 2016",5789167.8114
99 High Street,Yes,Office,99 High Street,02110," 731,205 ",79.7,88,"2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007","Bank Branch, Office, Other - Restaurant/Bar, Parking",1969,4533.7,6.2," 58,310,015 ",56%,44%,,13.1,,,,0304390000,"2014, 2015, 2016",129471556.1958
99 Summer Street,Yes,Office,99 Summer Street,02110," 291,332 ",53.3,88,,"Office, Parking",1987,1448.9,5.0," 15,532,506 ",92%,8%,,13.2,,,,Not Available,"2014, 2016",46175034.7286
A-01 Station,Municipal,Police Station,40 NEW SUDBURY ST,02114,37433,161.5,Not Available,,Police Station,2000,418.6,11.2,6044764.6,37%,63%,,,,,,Not Available,2016,#VALUE!
A-07 Station,Municipal,Police Station,69 Paris St,02128,16194,149.2,Not Available,,Police Station,2000,164.9,10.2,2416514.2,35%,65%,,,,,,Not Available,2016,#VALUE!
A-15 Station,Municipal,Police Station,20 Vine St,02129,20000,87.4,Not Available,,Police Station,2000,138.3,6.9,1747053.1,60%,40%,,,,,,Not Available,2016,#VALUE!
ABRAHAM LINCOLN,Municipal,K-12 School,152 Arlington St.,02116,80364,41.4,99,,K-12 School,1911,202.4,2.5,3324812.2,18%,82%,,,,,,Not Available,2016,#VALUE!
Academy Homes I,Yes,Multifamily Housing,1592 Columbus Ave,02119," 365,000 ",58,99,,Multifamily Housing,1962,1206.8,3.3," 21,186,310 ",9%,91%,,42.5,,,,1100916001,2016,26230770.4110
Academy Training,Municipal,Police Station,85 Williams Ave,02136,59500,43.3,Not Available,,Police Station,2000,55.9,0.9,2575807.5,22%,,,,,,,Not Available,2016,#VALUE!
Activities Building,Yes,College/University,180 Riverway,02215," 98,044 ",60.5,Not Available,,College/University,1967,500.4,5.1," 5,929,954 ",72%,28%,,26.0,,,,0402000000,"2014, 2015, 2016",15149845.7128
Acura of Boston,Yes,Automobile Dealership,1600 Soldiers Field Rd,02135," 42,389 ",15763.6,Not Available,,Automobile Dealership,1960,64541.6,1522.6," 668,204,064 ",100%,0%,,20.4,,,,2202755000,2016,2098160760.3320
ADAMS,Municipal,K-12 School,165 Webster St.,02128,41336,47.7,99,,K-12 School,1910,118.3,2.9,1971692.7,16%,84%,,,,,,Not Available,2016,#VALUE!
Adams Court-A,Yes,Multifamily Housing,415 River Street,02126," 48,580 ",58.5,84,,"Multifamily Housing, Parking",1965,182.6,3.8," 2,843,801 ",25%,75%,,58.5,,,,1801010000 1801012000,"2015, 2016",4471877.5443
Adams Street Branch,Municipal,Library,690 Adams St,02122,7189,75.4,Not Available,,Library,2000,35.2,4.9,542054.6,27%,73%,,,,,,Not Available,2016,#VALUE!
Administration Building/Wilkens Science Center,Yes,College/University,400 The Fenway,02115," 166,153 ",170.6,Not Available,,"College/University, Data Center, Parking",1919,1985.9,12.0," 28,347,217 ",39%,61%,,20.1,,"Two buildings sharing utility meters. Building contains classrooms, science labs, office spaces, parking as well as a small dining hall.

Gross square footage includes 56,712 square feet for parking garage.",,0401847000,"2014, 2015, 2016",52870393.4942
African American Museum,Municipal,Museum,46 Joy St,02114,4500,Not Available,Not Available,,Museum,2000,0,0,Not Available,,,,,,,,Not Available,2016,#VALUE!
AGASSIZ,Municipal,K-12 School,20 Child St.,02130,115400,89.8,57,,K-12 School,1972,625.1,5.4,10362894.5,17%,83%,,,,,,Not Available,2016,#VALUE!
Albert A. Pope Condominium Trust,Yes,Not Available,221 Columbus Ave,02116, Not Available ,Not Available,Not Available,,,1891,Not Available,Not Available, Not Available ,,,,,,,,Not Available,2016,#VALUE!
Aldrich Hall,Yes,College/University,35 Harvard Way,02163," 105,818 ",62.9,Not Available,,College/University,1953,537.1,5.1," 6,657,343 ",47%,,53%,21.9,,"Water is allocated by gross square footage for this property, and does not represent actual usage.",,2200530000,"2014, 2015, 2016",14058975.8915
Alger Street Realty LLC,Yes,Other - Services,4 Alger Street,02127," 98,882 ",85.7,Not Available,,Other - Services,1947,632.4,6.4," 8,472,959 ",49%,51%,,1.6,,,,0700027000,"2014, 2015, 2016",17573764.2619
ALIGHIERI,Municipal,K-12 School,37 Gove St.,02128,16948,58.1,100,,K-12 School,1924,54,3.2,985370.9,4%,96%,,,,,,Not Available,2016,#VALUE!
Allerton: 65 Allerton Street,Yes,Office,65 Allerton Street,02119," 72,087 ",105.5,25,,Office,2000,688.3,9.5," 7,608,704 ",86%,14%,,70.9,,,,0800962000,"2014, 2015, 2016",21665024.9086
Alumnae Hall,Yes,College/University,321R Brookline Avenue,02115," 7,600 ",276,Not Available,,College/University,1905,177.1,23.3," 2,097,638 ",72%,28%,,,,"Chiller serving multiple buildings located on roof. For information about recent energy efficiency projects, please visit green.simmons.edu.",,0402012000,"2015, 2016",5359044.2850
Amiff Housing: Amiff-ALH,Yes,Multifamily Housing,64 American Legion Highway,02124," 87,660 ",94.9,35,,Multifamily Housing,1971,481.7,5.5," 8,317,864 ",11%,89%,,57.5,,,,1404246000,"2015, 2016",10646033.4937
Amory Terrace,Yes,Multifamily Housing,20 Amory Avenue,02119," 64,085 ",27.6,100,,"Multifamily Housing, Parking",2005,155.3,2.4," 1,768,806 ",79%,21%,,64.8,,,,11012010101101202010,"2015, 2016",4777722.9670
Amy Lowell House: 65 Martha Road,Yes,Multifamily Housing,65 Martha Rd,02114," 115,000 ",75.6,40,,Multifamily Housing,1975,634.1,5.5," 8,699,361 ",45%,55%,,44.4,,,,0300465000,"2015, 2016",17316078.2696
Andrew Dutton Co,Yes,Office,60 Canal St,02114,39000,72.2,88,,Office,1895,210.2,5.4,2814772.7,49%,51%,,4.8,,,,Not Available,2016,5838120.0571
Animal Control Shelter,Municipal,Other,26 Mahler Rd,02131,10000,216.4,Not Available,,Other,2000,136.7,13.7,2163789.7,23%,77%,,,,,,Not Available,2016,#VALUE!
Ansin Building,Yes,College/University,180 Tremont St,02116," 98,744 ",Not Available,Not Available,,College/University,1931,Not Available,0.0, Not Available ,,,,12.0,,,,0304890100,"2014, 2015, 2016",#VALUE!
Anti Corruption,Municipal,Police Station,1960 Washington St,02118,4200,56.6,Not Available,,Police Station,2000,17.5,4.2,237732.8,47%,53%,,,,,,Not Available,2016,#VALUE!
Arborway Gardens Condominium,Yes,Multifamily Housing,"461, 463, 467, 469, 493, 495 Arborway, ",02130," 150,172 ",94.7,50,,Multifamily Housing,1950,808.1,5.4," 14,220,077 ",9%,91%,,27.4,,,,1102640000,"2015, 2016",17605877.3337
Archer/Donahue,Yes,College/University,41 Temple Street,02114," 175,791 ",134.2,Not Available,,College/University,1920,1780.4,10.1," 23,592,910 ",34%,0%,56%,10.7,,,,Not Available,"2014, 2016",41042225.3662
Archives Building,Municipal,Non-Refrigerated Warehouse,201 Rivermoor St,02132,119454,70.1,10,,Non-Refrigerated Warehouse,2000,683.1,5.7,8370470.6,65%,35%,,,,,,Not Available,2016,#VALUE!
Arlington Boylston,Yes,Office,330-350 Boylston Street,02116," 63,054 ",93.7,62,,"Office, Other, Retail Store",1899,438.8,7.0," 5,909,392 ",34%,20%,46%,9.6,,,,0501167000,"2014, 2015, 2016",10811823.0543
Armenian Nursing and Rehabilitation Center,Yes,Residential Care Facility,431 Pond St ,02130," 38,240 ",84.8,Not Available,,,1958,154.3,4.0," 3,244,455 ",,90%,,47.2,,,,1902312000,2016,3066009.7860
Armenise,Yes,Laboratory,210 Longwood Ave,02115," 133,645 ",209.5,Not Available,,Laboratory,1905,1978.5,14.8," 27,996,487 ",28%,,40%,46.1,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered",,0401882000,"2014, 2015, 2016",38052824.7226
Arnold Hall,Yes,College/University,78 Pilgrim Road,02115," 22,000 ",113.5,Not Available,,College/University,1951,166.7,7.6," 2,497,164 ",31%,69%,,31.2,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",,0402013000,"2015, 2016",4239934.5858
Arthur J. Hurley Co.,Yes,Distribution Center,2500 Washington Street,02119," 50,000 ",17.6,94,,Distribution Center,1967,46.7,0.9," 879,717 ",0%,100%,,2.9,63.7,,,01247-000,"2014, 2015, 2016",56961695.1750
Artists,Yes,Multifamily Housing,300 Summer Street,02210," 85,000 ",45.5,69,,Multifamily Housing,1950,278.0,3.3," 3,868,922 ",43%,57%,,13.8,,,,0602696002,"2015, 2016",7539368.1065
ARTS ACADEMY,Municipal,K-12 School,174 Ipswich St.,02215,129800,67.2,63,,K-12 School,1998,588.8,4.5,8718805.9,33%,67%,,,,,,Not Available,2016,#VALUE!
Ashmont Hill LLC,Yes,Senior Care Community,321 Centre Street,02122," 46,952 ",204.2,12,,Senior Care Community,1953,621.5,13.2," 9,589,095 ",27%,73%,,83.7,,"Default values were used for # of units, # of workers on main shift, # of computers, # of washing machines, # of lift systems, # of refrigeration/freezer units, and percent that can be heated/cooled.",,1601072000,2016,15479675.7356
Asian Healthcare Foundation of Massachusetts,Yes,Office,145 South Street,02111," 42,000 ",63.8,93,,Office,1895,215.7,5.1," 2,679,364 ",63%,37%,,13.9,,,,0304325000,2016,6341250.0688
"Asian,Kennedy,Smith Campus",Yes,College/University,"125,129,131 Hemenway street",02115," 110,798 ",84.4,Not Available,,College/University,1903,583.1,5.3," 9,353,747 ",21%,79%,,34.4,,,,Not Available,"2014, 2015, 2016",13926793.1639
Atelier 505,Yes,Multifamily Housing,505 Tremont St,02116," 224,000 ",91.6,4,,Multifamily Housing,2004,1462.8,6.5,"20,518,839.5",42%,58%,,28.6,,,,0500815020,2016,39556218.7881
Atlantic Wharf,Yes,Office,280 Congress St.,02210," 840,913 ",79.2,90,"2016, 2015, 2013","Data Center, Office, Parking, Restaurant",2010,5755.8,6.8," 66,574,999 ",76%,24%,,11.9,,"Atlantic Wharf office tower/retail includes the following parcel IDs: 0302952018, 0302952020, 0302952022, 0302952024",,0302952018 0302952020 0302952022 0302952024,"2014, 2015, 2016",175651477.8893
Audubon Park Condo Trust,Yes,Multifamily Housing,24 Farnsworth Street,02210," 126,660 ",18.6,100,,Multifamily Housing,1000,173.7,1.4," 2,356,633 ",47%,53%,,9.4,,,,2100167000,"2015, 2016",4789385.6524
Avenir,Yes,Multifamily Housing,101 Canal St.,02114," 335,514 ",52.6,78,,"Multifamily Housing, Parking, Retail Store",2009,1331.3,4.0," 17,637,227 ",51%,49%,,30.7,,2014-1)  Gross floor area reflects Asssessor's living area less enclosed parking garage.,,0301570001,"2015, 2016",37318609.4557
B-02 Station,Municipal,Police Station,2400 Washington St,02119,34500,120.2,Not Available,,Police Station,2000,309.2,9,4146747.3,49%,51%,,,,,,Not Available,2016,#VALUE!
B-03 Station,Municipal,Police Station,1163 Blue Hill Ave,02124,15000,193.3,Not Available,,Police Station,2000,201.3,13.4,2899342.9,37%,63%,,,,,,Not Available,2016,#VALUE!
Babcock Tower,Yes,Multifamily Housing,270 Babcock Street,02215," 155,384 ",88.1,8,,"Multifamily Housing, Parking",1972,1147.0,7.4," 13,693,130 ",70%,30%,,44.8,,,,2100470000,"2015, 2016",34410834.4335
Back Bay Maitenence,Municipal,Other,440 Park Dr,02215,10822,58.2,Not Available,,Other,2000,40.7,3.8,629699.3,27%,73%,,,,,,Not Available,2016,#VALUE!
Back of the Hill Apartments L.P.,Yes,Multifamily Housing,100 South Huntington Avenue ,02130," 119,531 ",60.4,79,,Multifamily Housing,1978,473.2,4.0," 7,223,556 ",28%,72%,,37.8,,,,1001490000,"2015, 2016",11811958.2806
Baker Chocolate Factory,Yes,Multifamily Housing,1220 Adams Street,02124," 105,620 ",65.5,77,,Multifamily Housing,1980,452.7,4.3," 6,913,899 ",28%,72%,,20.8,,,,1703661000,"2015, 2016",11305608.2989
Baker Library,Yes,Library,25 Harvard Way,02163," 157,820 ",82.1,Not Available,,Library,1927,986.3,6.2," 12,964,392 ",32%,,68%,25.5,,"Water is allocated by gross square footage for this property, and does not represent actual usage.",,2200530000,"2014, 2015, 2016",23605565.6819
Baker Square,Yes,Multifamily Housing,1241 Adams Street,02124," 229,178 ",64.1,54,,Multifamily Housing,1000,1020.0,4.5," 14,698,580 ",37%,63%,,29.8,,,,1704031010,"2015, 2016",26799920.7317
BALDWIN,Municipal,K-12 School,121 Corey Road,02135,27777,48.6,98,,K-12 School,1926,82.5,3,1349061.6,18%,82%,,,,,,Not Available,2016,#VALUE!
Bancroft,Yes,Multifamily Housing,119-127 Sutherland,02135," 30,600 ",80.3,86,,Multifamily Housing,1920,146.8,4.8," 2,457,026 ",15%,85%,,360.1,,,,2102155000,"2015, 2016",3350155.2237
Barnes School Apartments LLc,Yes,Residence Hall/Dormitory,127 Marion Street,02128," 141,016 ",44.7,88,,"Parking, Residence Hall/Dormitory",1900,451.0,3.2," 6,309,563 ",42%,58%,,11.3,,,,0105980000,"2015, 2016",12163574.5875
BARRON,Municipal,K-12 School,515 Hyde Park Ave.,02131,14700,65.7,69,,K-12 School,1969,73.8,5,965694.4,53%,47%,,,,,,Not Available,2016,#VALUE!
Bartol Hall,Yes,College/University,84 Pilgrim Road,02115," 25,400 ",159.8,Not Available,,College/University,1953,268.8,10.6," 4,059,728 ",30%,70%,,93.0,,"Dining Hall; Residence Campus central gas powered steam plant is located in this building. For information about recent energy efficiency projects, please visit green.simmons.edu.",,0402012000,"2015, 2016",6808164.5268
Basilica Leasehold Condominium Trust: Basilica Condominium,Yes,Multifamily Housing,106 13th Street,02129," 80,000 ",93.9,15,,Multifamily Housing,1986,506.3,6.3," 7,508,658 ",33%,67%,,35.1,,,,0203510175,"2015, 2016",13062811.4528
BATES,Municipal,K-12 School,426 Beech St.,02131,27936,79.3,85,,K-12 School,1929,131.6,4.7,2214682.3,14%,86%,,,,,,Not Available,2016,#VALUE!
Batten Hall,Yes,College/University,125 Western Avenue,02163," 77,029 ",75.7,Not Available,,College/University,1963,424.4,5.5," 5,828,694 ",45%,55%,,23.7,104901,"Harvard Real Estate (HRE) owns Batten Hall (aka Harvard Innovation Lab, or 125 Western Avenue). HBS pays for utilities and occupies the building.

A 113 solar PV system was installed at Batten Hall in September of 2014.",,2200500000,"2014, 2015, 2016",611447389348.2110
Battery Wharf Master Condo Assoc,Yes,Multifamily Housing,Battery Wharf Master Condominium Association,02109," 298,723 ",52.7,100,,Multifamily Housing,2007,972.7,3.3," 15,738,306 ",20%,80%,,34.4,,,,0303041300,"2014, 2015, 2016",23103833.5016
Bay Cove Human Services,Yes,Office,157-159 Friend Street,02114," 54,893 ",53.3,94,,"Office, Urgent Care/Clinic/Outpatient",1899,231.7,4.2," 2,925,495 ",60%,40%,,1520.8,,"Clinic Square Feet is estimated, thus resulting in estimated use of office space",,0301612000,"2014, 2015, 2016",6740340.4800
Bay State Realty,Yes,Financial Office,88 Broad Street,02110," 63,680 ",Not Available,Not Available,,Financial Office,1924,Not Available,Not Available, Not Available ,,,,,,,,03983-000,"2014, 2015, 2016",#VALUE!
Bayside Merchandise Mart,Yes,Office,150 Mt. Vernon Street,02125," 159,732 ",83.3,33,,"College/University, Office, Parking",1984,1287.0,8.1," 13,303,216 ",100%,,,,,,,1303448200,"2014, 2015, 2016",41772098.5540
"BCA Cyclo, Mills, CP Casting & CMC",Yes,Other,537 Tremont Street,02116," 83,750 ",37.8,Not Available,,Other,1884,217.0,2.6," 3,166,640 ",35%,65%,,666.7,,,,0500818000,"2014, 2016",5641369.3382
"BCA Studio, Beehive & Banyan",Yes,Performing Arts,551 Tremont St,02116," 43,869 ",117.9,Not Available,,Performing Arts,1884,282.3,6.4," 5,171,362 ",3%,97%,,5.2,,,,0500819000,2016,5754174.4974
BE Realty,Yes,Office,133 Federal St,02110," 127,689 ",141.7,34,,"Office, Restaurant",1960,1438.0,11.3," 18,096,425 ",43%,,57%,12.8,,,,Not Available,"2014, 2015, 2016",36811746.7179
Beach Street Garage,Yes,Parking,14-40 Beach Street,02111,4338,179.3,Not Available,,"Parking, Retail Store",1925,75.3,17.3,777915.6,100%,,,120.5,,,,Not Available,2016,2442654.9840
Beacon Hill House,Yes,Multifamily Housing,122 Bowdoin Street,02108,39800,138.2,Not Available,,"Multifamily Housing, Retail Store",1890,327.4,8.2,5500068.6,15%,85%,,6195.9,,,,0302813000,2016,7499343.5361
Beacon House Rogerson LP,Yes,Other - Lodging/Residential,19 Myrtle Street ,02114," 77,770 ",29.9,Not Available,,Other - Lodging/Residential,1986,224.7,2.9," 2,322,857 ",100%,,,50.1,,,,0300168000,"2015, 2016",7293771.6080
Beacon Towers Condominium,Yes,Multifamily Housing,479-483 Beacon St,02115," 70,000 ",78.7,60,,Multifamily Housing,1890,355.9,5.1," 5,506,030 ",26%,74%,,35.6,,Property square footage is estimated based on the total rentable space plus common areas.,,503644000,"2015, 2016",8773307.7240
Bec Site Office,Municipal,Other,2201 Washington St,02119,14116,9.1,Not Available,,Other,2000,12.4,0.9,127758.9,100%,,,,,,,Not Available,2016,#VALUE!
Beck Southend Trust,Yes,Other,49-59 Wareham St.,02118," 57,072 ",54.6,Not Available,,Other,1900,184.6,3.2," 3,118,632 ",14%,86%,,5.7,,2014 Was First Full Year of Gas Heat Switch over,,0801136000,"2014, 2015, 2016",4187074.6519
BEETHOVEN,Municipal,K-12 School,5125 Washington St.,02132,37452,72.4,87,,K-12 School,1925,163.3,4.4,2710015.2,16%,84%,,,,,,Not Available,2016,#VALUE!
Belgrade Place LLC,Yes,Multifamily Housing,446 Belgrade Ave,02132," 43,716 ",58.5,62,,"Multifamily Housing, Parking",2012,202.9,4.6," 2,556,418 ",60%,40%,,28.2,,,,Not Available,"2015, 2016",5889987.3024
"Belvedere Condo Trust, The",Yes,Multifamily Housing,100 Belvedere Street,02199," 165,000 ",22.7,99,,Multifamily Housing,1900,350.6,2.1," 3,750,047 ",93%,7%,,,,,,0401037600,2016,11226514.8058
Benjamin Healthcare Center,Yes,Mixed Use Property,120 Fisher Avenue,02120, 180 ,Not Available,Not Available,,"K-12 School, Parking, Senior Care Community",1927,Not Available,Not Available,Not Available,,,,,,,,1001342000,"2014, 2015, 2016",#VALUE!
Beren Tennis Pavilion,Yes,Other - Recreation,71 North Harvard Street,02134," 6,117 ",221.4,Not Available,,Other - Recreation,1899,131.0,21.4," 1,354,117 ",100%,,,21.3,,"This electric meter provides service not just to the small clubhouse facility for the tennis complex, it also feeds all of the exterior lighting and other loads for the 18-court exterior facility.",,2200533000,"2014, 2015, 2016",4251926.4380
BIDMC East && West Campus,Yes,Hospital (General Medical & Surgical),330 Brookline Ave.,02215," 2,497,517 ",323.6,20,,"Hospital (General Medical & Surgical), Laboratory, Parking",1975,56617.9,22.7," 808,281,516 ",28%,0%,45%,26.4,,"East & West Campus building meter data is combined.// BIDMC is reporting on Parcel ID 0401944000 which BIDMC owns (not NEDH Corp as per Boston Assessing Dept records). The parcel contains several buildings and is part of the West Campus.// BIDMC’s energy use/SF and Energy Star score reflect our energy intensive patient care and substantial lab research uses that have fresh air needs that drive up Btu/sf. BIDMC buys energy products from a district combined heat and power plant; such cogen energy savings is not reflected in this energy reporting platform. While new medical equipment and higher intensity clinical uses tend to increase hospital energy needs incrementally, BIDMC invests hundreds of thousands of dollars annually on energy savings projects (excluding LDC incentives). Due to projects undertaken since 2004, BIDMC saves  95,020 million Btu and 2,200 KCF of water a year.  For more information see the Green Ribbon Commission at http://www.greenribboncommission.org/health-care.",,0401862000 0401861000 0401944000 0401954000 0401964001 0401942000,"2014, 2015, 2016",1147113127.2234
BIDMC Research North,Yes,Laboratory,95 Brookline Ave,02215," 114,681 ",370.8,Not Available,,Laboratory,1994,3107.8,27.1," 42,520,834 ",46%,54%,,48.0,,,,2100067000,"2014, 2015, 2016",85526405.3065
Biomedical Research and Public Health Building,Yes,Laboratory,136 Harrison Avenue,02111," 290,327 ",311.4,Not Available,,"College/University, Laboratory",1940,7142.2,24.6," 90,403,557 ",42%,0%,58%,39.6,,"                                                                                               GSF    Parcel# 
BRPH - M&V Wing	                  136 Harrison Avenue    129947  305251000

BRPH - Stearns Wing	                  120 Harrison Avenue	    58793   305252000

BRPH - Arnold Wing	                  116 Harrison Avenue	    56300   305253000

BRPH - South Cove Wing	 55 Kneeland Street	    45287   305254000
 
",,"305251000,305254000,305253000,  305252000","2014, 2015, 2016",182145086.8451
Bird Farm South LLC,Yes,Office,129 South Street,02111," 43,031 ",84.5,56,,"Office, Other - Restaurant/Bar",1895,288.2,6.7," 3,638,099 ",60%,40%,,21.1,,,,0304323000,2016,8382178.9440
BLACKSTONE,Municipal,K-12 School,380 Shawmut Ave.,02118,194260,102.3,34,,K-12 School,1975,1244.4,6.4,19866983.9,22%,78%,,,,,,Not Available,2016,#VALUE!
Blake Estates I,Yes,Multifamily Housing,1344 Hyde Park Avenue,02136," 132,000 ",82.2,37,,Multifamily Housing,1900,710.9,5.4," 10,844,003 ",29%,71%,,49.1,,,,1809255000,"2015, 2016",17958754.0307
Blodgett Pool,Yes,Other - Recreation,55 North Harvard Street,02134," 46,074 ",144.9,Not Available,,"Office, Other, Other - Recreation",1977,471.3,10.2," 6,678,318 ",40%,60%,,0.0,,,,2200533000,"2014, 2015, 2016",12595307.7480
Blue Elm Apartments: 9 Hutchings St,Yes,Multifamily Housing,9 Hutchings St,02121," 14,860 ",94.8,Not Available,,Multifamily Housing,1930,81.6,5.5,"1,409,279.8",11%,89%,,49.3,,"We don't believe this property should be required to report. It is under the 50 unit and 50,000 square foot limit. It seems like it may have been added to the 2105 Property List based on a roll-up by owner name. Energy and water data reported here is only for 9 Hutchings Street. ",,1202282000,"2015, 2016",1803737.2160
Blue Elm Apartments-6 Wayne Street,Yes,Multifamily Housing,6 Wayne Street,02121," 61,335 ",59.7,98,,Multifamily Housing,1930,219.2,3.6,"3,663,783.2",15%,85%,,52.0,,"Based on the square footage and number of units in the building on the required parcel to report, it appears that this building was mistakenly added to the required buildings list. It's likely that the number of units were rolled up based on the building owner name. We've reported data for 6 buildings in the same development. ",,1202410000,"2015, 2016",4995568.3932
Blue Mountain Associates,Yes,Multifamily Housing,530 Warren Street,02121," 231,895 ",26.6,100,,Multifamily Housing,1900,493.8,2.1," 6,178,656 ",61%,39%,,3.4,,,,1202252000,"2015, 2016",14364757.3344
BMR-Blackfan Circle LLC,Yes,Laboratory,3 Blackfan Circle,02115," 761,369 ",459.8,Not Available,,"Laboratory, Parking, Restaurant",2008,24362.3,32.0," 350,046,460 ",38%,62%,,41.5,,"Number of occupants and number of computers is estimated.
The parking garage under the building is included in the whole building electricity data and uses an estimated 356,000 kWh per year. The parking garage is also a condominium and is lot number 0401853020.",,0401853022,"2014, 2015, 2016",645555680.7943
Bornstein & Pearl,Yes,Food Service,196 Quincy St,02121," 36,000 ",82.8,Not Available,,Food Service,1930,234.9,6.5," 2,981,038 ",59%,41%,,31.2,,,,1300952000,2016,6806007.8578
BOS - 245 Summer Street,Yes,Office,245 Summer Street,02210," 905,414 ",125.5,97,2013,"Data Center, Financial Office, Office",1975,10270.4,11.3," 113,589,968 ",85%,14%,,,,"The parcel identification code has been added to this reporting on February 4, 2014. The property was LEED Silver certified in 2009. LEED re-certified in 2013 and achieved LEED Gold.",,04-3337741,"2014, 2015, 2016",319869349.6064
BOS HOME FOR INCURABLES,Yes,Senior Care Community,2061 Dorchester Ave.,02124-4799," 92,300 ",105.9,100,,Senior Care Community,1927,558.4,6.1," 9,770,666 ",9%,91%,,3007.9,,Originally built in 1927.  Major additions done in 1992 and 2003.,,1704417000,2016,12097061.8222
Bosbh-Boston Hilton Back Bay,Yes,Hotel,40 Dalton Street,02115," 393,752 ",68.8,66,,Hotel,2007,2286.5,5.8," 27,093,638 ",64%,10%,26%,47.6,,,,0401327000,"2015, 2016",65745422.2135
Boston,Yes,Other - Specialty Hospital,1515 Commonwealth Ave,2135,52000,276.4,Not Available,,Other - Specialty Hospital,2000,1317.6,25.3,14371897.1,35%,65%,,32.9,,,,2101831000,"2014, 2015, 2016",25603534.6837
