Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),Tax Parcel,Years Reported, Total Source Energy (kBTU) ,Source EUI (kBTU/sf)
Albert A. Pope Condominium Trust,Yes,Not Available,221 Columbus Ave,2116,Not Available,Not Available,Not Available,,,1891,Not Available,Not Available,Not Available,,,,,,Not Available,2016,#VALUE!,#VALUE!
Aldrich Hall,Yes,College/University,35 Harvard Way,2163,105818,62.9,Not Available,,College/University,1953,537.1,5.1,6657343,0.47,,0.53,21.9,,2200530000,2014 2015 2016,14058976.95,132.8599761
Alger Street Realty LLC,Yes,Other - Services,4 Alger Street,2127,98882,85.7,Not Available,,Other - Services,1947,632.4,6.4,8472959,0.49,0.51,,1.6,,700027000,2014 2015 2016,17573764.26,177.7246037
ALIGHIERI,Municipal,K-12 School,37 Gove St.,2128,16948,58.1,100,,K-12 School,1924,54,3.2,985371,0.04,0.96,,,,Not Available,2016,1117016.452,65.90845246
Allerton: 65 Allerton Street,Yes,Office,65 Allerton Street,2119,72087,105.5,25,,Office,2000,688.3,9.5,7608704,0.86,0.14,,70.9,,800962000,2014 2015 2016,21665023.77,300.5399555
Alumnae Hall,Yes,College/University,321R Brookline Avenue,2115,7600,276,Not Available,,College/University,1905,177.1,23.3,2097638,0.72,0.28,,,,402012000,2015 2016,5359045.562,705.137574
Amiff Housing: Amiff-ALH,Yes,Multifamily Housing,64 American Legion Highway,2124,87660,94.9,35,,Multifamily Housing,1971,481.7,5.5,8317864,0.11,0.89,,57.5,,1404246000,2015 2016,10646034.13,121.4468872
Amory Terrace,Yes,Multifamily Housing,20 Amory Avenue,2119,64085,27.6,100,,Multifamily Housing Parking,2005,155.3,2.4,1768806,0.79,0.21,,64.8,,1.1012E+19,2015 2016,4777721.887,74.55288892
Amy Lowell House: 65 Martha Road,Yes,Multifamily Housing,65 Martha Rd,2114,115000,75.6,40,,Multifamily Housing,1975,634.1,5.5,8699361,0.45,0.55,,44.4,,300465000,2015 2016,17316078.07,150.5745919
Andrew Dutton Co,Yes,Office,60 Canal St,2114,39000,72.2,88,,Office,1895,210.2,5.4,2814773,0.49,0.51,,4.8,,Not Available,2016,5838120.057,149.6953861
Animal Control Shelter,Municipal,Other,26 Mahler Rd,2131,10000,216.4,Not Available,,Other,2000,136.7,13.7,2163790,0.23,0.77,,,,Not Available,2016,3312112.894,331.2112894
Ansin Building,Yes,College/University,180 Tremont St,2116,98744,Not Available,Not Available,,College/University,1931,Not Available,0,Not Available,,,,12,,304890100,2014 2015 2016,#VALUE!,#VALUE!
Anti Corruption,Municipal,Police Station,1960 Washington St,2118,4200,56.6,Not Available,,Police Station,2000,17.5,4.2,237733,0.47,0.53,,,,Not Available,2016,483144.3694,115.0343737
Arborway Gardens Condominium,Yes,Multifamily Housing,"461, 463, 467, 469, 493, 495 Arborway, ",2130,150172,94.7,50,,Multifamily Housing,1950,808.1,5.4,14220077,0.09,0.91,,27.4,,1102640000,2015 2016,17605877.33,117.2380826
Archer/Donahue,Yes,College/University,41 Temple Street,2114,175791,134.2,Not Available,,College/University,1920,1780.4,10.1,23592910,0.34,0,0.56,10.7,,Not Available,2014 2016,41042226.24,233.4717149
Archives Building,Municipal,Non-Refrigerated Warehouse,201 Rivermoor St,2132,119454,70.1,10,,Non-Refrigerated Warehouse,2000,683.1,5.7,8370471,0.65,0.35,,,,Not Available,2016,20160278.44,168.7702249
Arlington Boylston,Yes,Office,330-350 Boylston Street,2116,63054,93.7,62,,Office Other Retail Store,1899,438.8,7,5909392,0.34,0.2,0.46,9.6,,501167000,2014 2015 2016,10811823.6,171.469274
Armenian Nursing and Rehabilitation Center,Yes,Residential Care Facility,431 Pond St ,2130,38240,84.8,Not Available,,,1958,154.3,4,3244455,,0.9,,47.2,,1902312000,2016,3066009.975,80.17808512
Armenise,Yes,Laboratory,210 Longwood Ave,2115,133645,209.5,Not Available,,Laboratory,1905,1978.5,14.8,27996487,0.28,,0.40,46.1,,401882000,2014 2015 2016,38052825.13,284.7306306
Arnold Hall,Yes,College/University,78 Pilgrim Road,2115,22000,113.5,Not Available,,College/University,1951,166.7,7.6,2497164,0.31,0.69,,31.2,,402013000,2015 2016,4239934.756,192.7243071
Arthur J. Hurley Co.,Yes,Distribution Center,2500 Washington Street,2119,50000,17.6,94,,Distribution Center,1967,46.7,0.9,879717,0,1,,2.9,63.7,01247-000,2014 2015 2016,56961675.75,1139.233515
Artists,Yes,Multifamily Housing,300 Summer Street,2210,85000,45.5,69,,Multifamily Housing,1950,278,3.3,3868922,0.43,0.57,,13.8,,602696002,2015 2016,7539368.301,88.6984506
ARTS ACADEMY,Municipal,K-12 School,174 Ipswich St.,2215,129800,67.2,63,,K-12 School,1998,588.8,4.5,8718806,0.33,0.67,,,,Not Available,2016,15168106.62,116.8575241
Ashmont Hill LLC,Yes,Senior Care Community,321 Centre Street,2122,46952,204.2,12,,Senior Care Community,1953,621.5,13.2,9589095,0.27,0.73,,83.7,,1601072000,2016,15479676.06,329.691516
Asian Healthcare Foundation of Massachusetts,Yes,Office,145 South Street,2111,42000,63.8,93,,Office,1895,215.7,5.1,2679364,0.63,0.37,,13.9,,304325000,2016,6341250.779,150.9821614
"Asian,Kennedy,Smith Campus",Yes,College/University,"125,129,131 Hemenway street",2115,110798,84.4,Not Available,,College/University,1903,583.1,5.3,9353747,0.21,0.79,,34.4,,Not Available,2014 2015 2016,13926793.91,125.6953547
Atelier 505,Yes,Multifamily Housing,505 Tremont St,2116,224000,91.6,4,,Multifamily Housing,2004,1462.8,6.5,20518840,0.42,0.58,,28.6,,500815020,2016,39556218.79,176.5902624
Atlantic Wharf,Yes,Office,280 Congress St.,2210,840913,79.2,90,,Data Center Office Parking Restaurant,2010,5755.8,6.8,66574999,0.76,0.24,,11.9,,0302952018 0302952020 0302952022 0302952024,2014 2015 2016,175651477.4,208.8818669
Audubon Park Condo Trust,Yes,Multifamily Housing,24 Farnsworth Street,2210,126660,18.6,100,,Multifamily Housing,1000,173.7,1.4,2356633,0.47,0.53,,9.4,,2100167000,2015 2016,4789385.246,37.81292631
Avenir,Yes,Multifamily Housing,101 Canal St.,2114,335514,52.6,78,,Multifamily Housing Parking Retail Store,2009,1331.3,4,17637227,0.51,0.49,,30.7,,301570001,2015 2016,37318608.61,111.2281711
B-02 Station,Municipal,Police Station,2400 Washington St,2119,34500,120.2,Not Available,,Police Station,2000,309.2,9,4146747,0.49,0.51,,,,Not Available,2016,8600768.575,249.2976399
B-03 Station,Municipal,Police Station,1163 Blue Hill Ave,2124,15000,193.3,Not Available,,Police Station,2000,201.3,13.4,2899343,0.37,0.63,,,,Not Available,2016,5286371.91,352.424794
Babcock Tower,Yes,Multifamily Housing,270 Babcock Street,2215,155384,88.1,8,,Multifamily Housing Parking,1972,1147,7.4,13693130,0.7,0.3,,44.8,,2100470000,2015 2016,34410835.69,221.4567503
Back Bay Maitenence,Municipal,Other,440 Park Dr,2215,10822,58.2,Not Available,,Other,2000,40.7,3.8,629699,0.27,0.73,,,,Not Available,2016,1016523.58,93.93121234
Back of the Hill Apartments L.P.,Yes,Multifamily Housing,100 South Huntington Avenue ,2130,119531,60.4,79,,Multifamily Housing,1978,473.2,4,7223556,0.28,0.72,,37.8,,1001490000,2015 2016,11811958.77,98.81920817
Baker Chocolate Factory,Yes,Multifamily Housing,1220 Adams Street,2124,105620,65.5,77,,Multifamily Housing,1980,452.7,4.3,6913899,0.28,0.72,,20.8,,1703661000,2015 2016,11305607.64,107.0404057
Baker Library,Yes,Library,25 Harvard Way,2163,157820,82.1,Not Available,,Library,1927,986.3,6.2,12964392,0.32,,0.68,25.5,,2200530000,2014 2015 2016,23605564.95,149.5727091
Baker Square,Yes,Multifamily Housing,1241 Adams Street,2124,229178,64.1,54,,Multifamily Housing,1000,1020,4.5,14698580,0.37,0.63,,29.8,,1704031010,2015 2016,26799920.91,116.9393263
BALDWIN,Municipal,K-12 School,121 Corey Road,2135,27777,48.6,98,,K-12 School,1926,82.5,3,1349062,0.18,0.82,,,,Not Available,2016,1924031.654,69.26707902
Bancroft,Yes,Multifamily Housing,119-127 Sutherland,2135,30600,80.3,86,,Multifamily Housing,1920,146.8,4.8,2457026,0.15,0.85,,360.1,,2102155000,2015 2016,3350154.951,109.4821879
Barnes School Apartments LLc,Yes,Residence Hall/Dormitory,127 Marion Street,2128,141016,44.7,88,,Parking Residence Hall/Dormitory,1900,451,3.2,6309563,0.42,0.58,,11.3,,105980000,2015 2016,12163575.55,86.25670528
BARRON,Municipal,K-12 School,515 Hyde Park Ave.,2131,14700,65.7,69,,K-12 School,1969,73.8,5,965694,0.53,0.47,,,,Not Available,2016,2083678.807,141.7468576
Bartol Hall,Yes,College/University,84 Pilgrim Road,2115,25400,159.8,Not Available,,College/University,1953,268.8,10.6,4059728,0.3,0.7,,93,,402012000,2015 2016,6808163.856,268.0379471
Basilica Leasehold Condominium Trust: Basilica Condominium,Yes,Multifamily Housing,106 13th Street,2129,80000,93.9,15,,Multifamily Housing,1986,506.3,6.3,7508658,0.33,0.67,,35.1,,203510175,2015 2016,13062812.32,163.285154
BATES,Municipal,K-12 School,426 Beech St.,2131,27936,79.3,85,,K-12 School,1929,131.6,4.7,2214682,0.14,0.86,,,,Not Available,2016,2973432.456,106.4373015
Batten Hall,Yes,College/University,125 Western Avenue,2163,77029,75.7,Not Available,,College/University,1963,424.4,5.5,5828694,0.45,0.55,,23.7,104901,2200500000,2014 2015 2016,6.11E+11,7937886.138
Battery Wharf Master Condo Assoc,Yes,Multifamily Housing,Battery Wharf Master Condominium Association,2109,298723,52.7,100,,Multifamily Housing,2007,972.7,3.3,15738306,0.2,0.8,,34.4,,303041300,2014 2015 2016,23103833.21,77.34199646
Bay Cove Human Services,Yes,Office,157-159 Friend Street,2114,54893,53.3,94,,Office Urgent Care/Clinic/Outpatient,1899,231.7,4.2,2925495,0.6,0.4,,1520.8,,301612000,2014 2015 2016,6740340.48,122.7905285
Bay State Realty,Yes,Financial Office,88 Broad Street,2110,63680,Not Available,Not Available,,Financial Office,1924,Not Available,Not Available,Not Available,,,,,,03983-000,2014 2015 2016,#VALUE!,#VALUE!
Bayside Merchandise Mart,Yes,Office,150 Mt. Vernon Street,2125,159732,83.3,33,,College/University Office Parking,1984,1287,8.1,13303216,1,,,,,1303448200,2014 2015 2016,41772098.24,261.5136494
"BCA Cyclo, Mills, CP Casting & CMC",Yes,Other,537 Tremont Street,2116,83750,37.8,Not Available,,Other,1884,217,2.6,3166640,0.35,0.65,,666.7,,500818000,2014 2016,5641369.16,67.35963176
"BCA Studio, Beehive & Banyan",Yes,Performing Arts,551 Tremont St,2116,43869,117.9,Not Available,,Performing Arts,1884,282.3,6.4,5171362,0.03,0.97,,5.2,,500819000,2016,5754174.497,131.1672137
BE Realty,Yes,Office,133 Federal St,2110,127689,141.7,34,,Office Restaurant,1960,1438,11.3,18096425,0.43,,0.57,12.8,,Not Available,2014 2015 2016,36811747.74,288.2922392
Beach Street Garage,Yes,Parking,14-40 Beach Street,2111,4338,179.3,Not Available,,Parking Retail Store,1925,75.3,17.3,777916,1,,,120.5,,Not Available,2016,2442654.984,563.0832144
Beacon Hill House,Yes,Multifamily Housing,122 Bowdoin Street,2108,39800,138.2,Not Available,,Multifamily Housing Retail Store,1890,327.4,8.2,5500069,0.15,0.85,,6195.9,,302813000,2016,7499343.536,188.425717
Beacon House Rogerson LP,Yes,Other - Lodging/Residential,19 Myrtle Street ,2114,77770,29.9,Not Available,,Other - Lodging/Residential,1986,224.7,2.9,2322857,1,,,50.1,,300168000,2015 2016,7293770.98,93.7864341
Beacon Towers Condominium,Yes,Multifamily Housing,479-483 Beacon St,2115,70000,78.7,60,,Multifamily Housing,1890,355.9,5.1,5506030,0.26,0.74,,35.6,,503644000,2015 2016,8773308.202,125.3329743
Bec Site Office,Municipal,Other,2201 Washington St,2119,14116,9.1,Not Available,,Other,2000,12.4,0.9,127759,1,,,,,Not Available,2016,401162.946,28.41902423
Beck Southend Trust,Yes,Other,49-59 Wareham St.,2118,57072,54.6,Not Available,,Other,1900,184.6,3.2,3118632,0.14,0.86,,5.7,,801136000,2014 2015 2016,4187075.323,73.3647905
BEETHOVEN,Municipal,K-12 School,5125 Washington St.,2132,37452,72.4,87,,K-12 School,1925,163.3,4.4,2710015,0.16,0.84,,,,Not Available,2016,3751745.043,100.1747582
Belgrade Place LLC,Yes,Multifamily Housing,446 Belgrade Ave,2132,43716,58.5,62,,Multifamily Housing Parking,2012,202.9,4.6,2556418,0.6,0.4,,28.2,,Not Available,2015 2016,5889987.072,134.7329827
"Belvedere Condo Trust, The",Yes,Multifamily Housing,100 Belvedere Street,2199,165000,22.7,99,,Multifamily Housing,1900,350.6,2.1,3750047,0.93,0.07,,,,401037600,2016,11226515.7,68.03948911
Benjamin Healthcare Center,Yes,Mixed Use Property,120 Fisher Avenue,2120,180,Not Available,Not Available,,K-12 School Parking Senior Care Community,1927,Not Available,Not Available,Not Available,,,,,,1001342000,2014 2015 2016,#VALUE!,#VALUE!
Beren Tennis Pavilion,Yes,Other - Recreation,71 North Harvard Street,2134,6117,221.4,Not Available,,Other - Recreation,1899,131,21.4,1354117,1,,,21.3,,2200533000,2014 2015 2016,4251927.38,695.1001112
BIDMC East && West Campus,Yes,Hospital (General Medical & Surgical),330 Brookline Ave.,2215,2497517,323.6,20,,Hospital (General Medical & Surgical) Laboratory Parking,1975,56617.9,22.7,808281516,0.28,0,0.45,26.4,,0401862000 0401861000 0401944000 0401954000 0401964001 0401942000,2014 2015 2016,1147113128,459.3014292
BIDMC Research North,Yes,Laboratory,95 Brookline Ave,2215,114681,370.8,Not Available,,Laboratory,1994,3107.8,27.1,42520834,0.46,0.54,,48,,2100067000,2014 2015 2016,85526405.51,745.7765934
Biomedical Research and Public Health Building,Yes,Laboratory,136 Harrison Avenue,2111,290327,311.4,Not Available,,College/University Laboratory,1940,7142.2,24.6,90403557,0.42,0,0.58,39.6,,"305251000,305254000,305253000,  305252000",2014 2015 2016,182145086.6,627.3790817
Bird Farm South LLC,Yes,Office,129 South Street,2111,43031,84.5,56,,Office Other - Restaurant/Bar,1895,288.2,6.7,3638099,0.6,0.4,,21.1,,304323000,2016,8382180.096,194.793988
BLACKSTONE,Municipal,K-12 School,380 Shawmut Ave.,2118,194260,102.3,34,,K-12 School,1975,1244.4,6.4,19866984,0.22,0.78,,,,Not Available,2016,29995172.29,154.4073525
Blake Estates I,Yes,Multifamily Housing,1344 Hyde Park Avenue,2136,132000,82.2,37,,Multifamily Housing,1900,710.9,5.4,10844003,0.29,0.71,,49.1,,1809255000,2015 2016,17958753.37,136.0511619
Blodgett Pool,Yes,Other - Recreation,55 North Harvard Street,2134,46074,144.9,Not Available,,Office Other Other - Recreation,1977,471.3,10.2,6678318,0.4,0.6,,0,,2200533000,2014 2015 2016,12595307.75,273.3712668
Blue Elm Apartments: 9 Hutchings St,Yes,Multifamily Housing,9 Hutchings St,2121,14860,94.8,Not Available,,Multifamily Housing,1930,81.6,5.5,1409280,0.11,0.89,,49.3,,1202282000,2015 2016,1803737.216,121.3820468
Blue Elm Apartments-6 Wayne Street,Yes,Multifamily Housing,6 Wayne Street,2121,61335,59.7,98,,Multifamily Housing,1930,219.2,3.6,3663783,0.15,0.85,,52,,1202410000,2015 2016,4995568.393,81.44727143
Blue Mountain Associates,Yes,Multifamily Housing,530 Warren Street,2121,231895,26.6,100,,Multifamily Housing,1900,493.8,2.1,6178656,0.61,0.39,,3.4,,1202252000,2015 2016,14364757.33,61.94509297
BMR-Blackfan Circle LLC,Yes,Laboratory,3 Blackfan Circle,2115,761369,459.8,Not Available,,Laboratory Parking Restaurant,2008,24362.3,32,350046460,0.38,0.62,,41.5,,401853022,2014 2015 2016,645555681.5,847.8880563
Bornstein & Pearl,Yes,Food Service,196 Quincy St,2121,36000,82.8,Not Available,,Food Service,1930,234.9,6.5,2981038,0.59,0.41,,31.2,,1300952000,2016,6806007.858,189.0557738
BOS - 245 Summer Street,Yes,Office,245 Summer Street,2210,905414,125.5,97,,Data Center Financial Office Office,1975,10270.4,11.3,113589968,0.85,0.14,,,,04-3337741,2014 2015 2016,319869349.9,353.2851821
BOS HOME FOR INCURABLES,Yes,Senior Care Community,2061 Dorchester Ave.,02124-4799,92300,105.9,100,,Senior Care Community,1927,558.4,6.1,9770666,0.09,0.91,,3007.9,,1704417000,2016,12097061.57,131.0624223
Bosbh-Boston Hilton Back Bay,Yes,Hotel,40 Dalton Street,2115,393752,68.8,66,,Hotel,2007,2286.5,5.8,27093638,0.64,0.1,0.26,47.6,,401327000,2015 2016,65745421.97,166.9716521
Boston,Yes,Other - Specialty Hospital,1515 Commonwealth Ave,2135,52000,276.4,Not Available,,Other - Specialty Hospital,2000,1317.6,25.3,14371897,0.35,0.65,,32.9,,2101831000,2014 2015 2016,25603534.68,492.375667
Boston,Yes,Financial Office,55 Thomson Pl,2210,81236,137.6,13,,Financial Office,1914,1081.4,13.3,11177303,1,,,7.2,,602652003,2014 2015 2016,35096730.16,432.0341987
Boston Architectural College,Yes,Office,320 Newbury Street,2115,49494,59.9,89,,Office,1965,286.9,5.8,2965941,1,,,20.8,,503062000,2016,9313054.74,188.1653279
Boston Baptist College,Yes,Adult Education,950 Metropolitan Ave,2136,40425,84.5,Not Available,,Adult Education,1904,207.4,5.1,3416949,0.17,0.83,,3.9,,1810945000,2016,4801838.43,118.783882
Boston Bowl,Yes,Other - Entertainment/Public Assembly,820 William T. Morrissey Blvd,2122,45096,127.3,Not Available,,Other - Entertainment/Public Assembly Parking,1959,445,9.9,5742256,0.56,0.44,,12.2,,Not Available,2016,12750105.22,282.7325089
Boston Center for the Arts,Yes,Performing Arts,539 Tremont St,2116,127619,65.3,Not Available,,Performing Arts,1948,499.3,3.9,8338002,0.16,0.84,,439.3,,Not Available,2014 2016,11543129.97,90.44993276
Boston Children's Hospital,Yes,Other - Specialty Hospital,300 Longwood Ave,2115,2264503,475.6,Not Available,,Other Other - Specialty Hospital Parking,1914,73790.8,32.6,1077092067,0.23,,0.47,28.6,,Not Available,2014 2015 2016,1385355817,611.7703605
Boston Children's Museum,Yes,Office,300 Congress Street,2110,173474,72.1,Not Available,,Museum Office,1880,1111.9,6.4,12515201,0.82,0.18,,19.6,,Not Available,2014 2016,34589512.52,199.3930648
Boston Chinese Evangelical Church,Yes,Worship Facility,120 Shawmut Ave,2118,36446,68.5,Not Available,,Parking Worship Facility,1985,153.3,4.2,2498140,0.19,0.81,,1.8,,306175000,2016,3615058.394,99.18944175
Boston College   (BERDO),Yes,College/University,140 Commonwealth Ave,2467,3346233,84,Not Available,,College/University,1863,22472,6.7,280947909,0.57,0.27,0.16,19.3,,2102473001,2014 2015 2016,636431297.8,190.1933601
Boston Common Hotel,Yes,Hotel,430 Stuart St.,2116,84180,98.4,12,,Hotel,1925,657.7,7.8,8286290,0.43,0,0.57,45.9,,401084010,2014 2015 2016,16855971.12,200.237243
Boston Common Ranger Station,Municipal,Other - Recreation,148 TREMONT ST,2111,862,197,Not Available,,Other - Recreation,2000,9,10.5,169800,,1,,,,Not Available,2016,178290,206.8329466
Boston Common Visitor Center,Municipal,Other,Tremont St Vstr  /  West,2111,1234,111.2,Not Available,,Other,2000,13.3,10.8,137248,1,,,,,Not Available,2016,430957.778,349.2364489
Boston Dedham Commerce Park,Yes,Other,65 Sprague ST,2136,256346,Not Available,Not Available,,Other,1940,Not Available,Not Available,Not Available,,,,9.7,,Not Available,2016,#VALUE!,#VALUE!
"Boston Flower Exchange, Inc.",Yes,Distribution Center,540 Albany St,2118,77000,89.2,65,,Distribution Center,1970,481.4,6.3,6867435,0.39,0.61,,11.7,,801055000,2014 2015 2016,12808453.02,166.3435457
Boston Maintenance Supply,Yes,Non-Refrigerated Warehouse,3380 Washington ST,2130,35000,23,72,,Non-Refrigerated Warehouse,1980,77.9,2.2,805345,1,,,0.7,,Not Available,2016,2528783.3,72.25095143
Boston Medical Center,Yes,Hospital (General Medical & Surgical),One Boston Medical Center Place,2118,2185271,242.9,9,,Hospital (General Medical & Surgical) Parking,1986,42969.3,19.7,530698311,0.49,0.02,0.49,38.7,,Not Available,2014 2015 2016,1139727693,521.5498182
BOSTON OPERA HOUSE,Yes,Performing Arts,539 WASHINGTON STREET,2111,118781,99.3,Not Available,,Performing Arts,1928,845.5,7.1,11799529,0.43,0.57,,12.6,,Not Available,2014 2015 2016,22993742.16,193.5809781
Boston Prep,Yes,K-12 School,1286 Hyde Park Ave,2136,39000,60.5,89,,K-12 School,1960,146.3,3.8,2359992,0.2,0.8,,13.3,,1809140010,2016,3464468.256,88.83251938
Boston Redevelopment Authority,Yes,Office,c/o Newmark Knight Frank,2111,102710,30.2,100,,Office,1887,171.5,1.7,3105897,0.05,0.95,,8.1,,304908000,2014 2015 2016,3585758.087,34.91147976
BOSTON SOUTH BAY (1898),Yes,Retail Store,7 ALLSTATE RD,2125,147225,73.5,84,,Parking Retail Store,2004,921.1,6.3,10827089,0.73,0.27,,13.7,,703501010,2014 2015 2016,27887333.14,189.4198209
Boston Trinity Academy,Yes,K-12 School,17 Hale Street,2136,53000,51,98,,K-12 School,1956,143.9,2.7,2702565,0,1,,11.8,,1811281000,2014 2015 2016,2837693.25,53.54138208
Boston Water and Sewer Commission,Yes,Office,980 Harrison Avenue,2119,430000,46.4,90,,Office,2001,1637.4,3.8,19964377,0.66,0.34,,4.9,265111,0901984010 0801982000 0801903010 0801981000,2014 2015 2016,5.29E+12,12308894.08
BostonView Apartments,Yes,Multifamily Housing,130-140 Bowdoin St,2108,209103,6.7,100,,Multifamily Housing Parking,1965,135,0.6,1395123,1,,,13.1,,02811-000,2015 2016,4380686.22,20.94989656
Bowdoin  Place Condominium,Yes,Multifamily Housing,10 Bowdoin Street,2114,112888,23.3,98,,Multifamily Housing,2004,254.8,2.3,2633501,1,,,18.7,,302726010,2015 2016,8269193.14,73.25130342
Boylston,Yes,Multifamily Housing,1163 Boylston St,2215,174700,119.4,62,,Multifamily Housing,1920,1220.1,7,20864734,0.12,0.88,,63.1,,504178000,2015 2016,27140845.99,155.3568746
BPD Backup Tower,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",64 Bellevue Hill Rd,2132,10200,8.6,Not Available,,Repair Services,1905,8.5,0.8,87784,1,,,,,Not Available,2016,275641.446,27.02367118
BPHC Southampton Street,Municipal,Office,112 Southampton St,2118,44719,132.8,46,,Office,2000,392.7,8.8,5938868,0.3,0.7,,,,Not Available,2016,9959481.636,222.7125302
BRA / EDIC,Municipal,Other,43 HAWKINS ST,2114,23408,259,Not Available,,Other,2000,386.1,16.5,6061739,0.24,0.76,,,,Not Available,2016,9405394.853,401.8025826
BRADLEY,Municipal,K-12 School,110 Beachview Rd.,2128,33128,51.3,96,,K-12 School,1958,108.2,3.3,1698870,0.24,0.76,,,,Not Available,2016,2635965.916,79.56912329
Bradley Properties,Yes,Multifamily Housing,75 Federal Street 4th Floor,2110,67500,16.8,100,,Multifamily Housing,1990,109.9,1.6,1135636,1,,,44.5,,306986000,2015 2016,3565897.04,52.8281043
Braemore Condominium,Yes,Not Available,464-466 Commonwealth Avenue,2215,Not Available,Not Available,Not Available,,,1982,385.4,Not Available,5279677,0.46,0.54,,,,503916000,2014 2015 2016,10619542.32,#VALUE!
Brandywyne Village,Yes,Multifamily Housing,88 Brandywyne Drive,2128,873348,28.7,100,,Multifamily Housing,1900,1375.2,1.6,25091346,0.04,0.96,,20.3,,100534000,2016,28443549.83,32.56840323
BrentonCorpLLC,Yes,Mixed Use Property,242-260 East Berkeley Street,2115,52520,21,Not Available,,Bar/Nightclub Manufacturing/Industrial Office Restaurant,1880,106.7,2,1103093,1,,,27.9,,Not Available,2014 2015 2016,3463712.02,65.95034311
Brewery Lofts,Yes,Multifamily Housing,251 Heath St Pub,2130,86900,60.7,81,,Multifamily Housing,1000,355,4.1,5278890,0.32,0.68,,38.4,,1001480000,2015 2016,9073356.132,104.411463
"Brickpoint Properties, Inc.",Yes,Office,15 Court Square,2108,81986,51.9,96,,Office,1911,320.8,3.9,4257368,0.51,0.49,,3.8,,302866000,2014 2015 2016,9008164.951,109.8744292
Bright Hockey Center,Yes,Ice/Curling Rink,67 North Harvard Street,2134,131386,115.4,Not Available,,Ice Rink,1978,1130.5,8.6,15164085,0.36,0.22,0.42,5.8,,2200533000,2014 2015 2016,28287084.16,215.2975519
Brighton Branch,Municipal,Library,40 Academy Rd,2135,17208,115,Not Available,,Library,2000,128,7.4,1979302,0.27,0.73,,,,Not Available,2016,3195187.38,185.6803452
Brighton Health Group,Yes,Senior Care Community,10 Bellamy St,2135,44640,120.8,Not Available,,Senior Care Community,1975,472.2,10.6,5394391,0.79,0.21,,95.2,,2203447000,2015 2016,14570789.53,326.4065755
BRIGHTON HS,Municipal,K-12 School,25 Warren St.,2135,216213,40.4,95,,K-12 School,1930,565.4,2.6,8744041,0.26,0.74,,,,Not Available,2016,13932754.77,64.43994936
Brighton Marine Health Center,Yes,Medical Office,77 Warren Street,2135,204504,96.1,Not Available,,Medical Office,1938,1356.5,6.6,19655997,0.34,0.61,,11.7,,2101829500,2016,33574409.16,164.1748287
Brighton Place Condominium,Yes,Multifamily Housing,1625-1677 Commonwealth Avenue,2135,270000,69.4,96,,Multifamily Housing,1920,1044.2,3.9,18733805,0.06,0.94,,36.3,,2101925000,2015 2016,22019714.4,81.55449777
BROMFIELD 44 LLC,Yes,Office,44 BROMFIELD STREET,2110,44766,80.9,88,,Office,1915,216.4,4.8,3621110,0.15,0.85,,29.9,,304760000,2016,4937383.485,110.2931574
Brooke Charter School Mattapan,Yes,K-12 School,150 American Legion Highway,2124,47866,38.1,77,,K-12 School,1911,176.3,3.7,1822051,1,,,8.7,,Not Available,2016,5721240.14,119.5261802
Brooke Charter School Roslindale,Yes,K-12 School,190 Cummins Highway,2131,63221,32,93,,K-12 School,1916,150.8,2.4,2024204,0.48,0.5,,15.2,,1903799000,2014 2015 2016,4113587.369,65.06678744
Brookline Bancorp,Yes,Financial Office,131 Clarendon Street,2116,70346,Not Available,Not Available,,Financial Office,1899,Not Available,Not Available,Not Available,,,,,,4289436,2015 2016,#VALUE!,#VALUE!
BROOKLINE ICE,Yes,Other - Utility,225 SOUTHHAMPTON ST,2118,2000,5634.3,Not Available,,Other - Utility,1950,1090.2,545.1,11268687,1,,,4050.9,,Not Available,2015 2016,35383677.18,17691.83859
Brown Kaplan,Yes,Multifamily Housing,754 Blue Hill Avenue,2121,71139,64.7,99,,Multifamily Housing Parking,1980,247.5,3.5,4601834,0.02,0.98,,78.2,,1.4043E+199,2015 2016,5024282.361,70.62627196
Building A,Yes,Office,17 Electric Avenue,2135,8324,58.4,61,,Office,1950,35.8,4.3,486154,0.47,0.53,,26.8,,2202671010,2016,988010.7742,118.6942304
Building B,Yes,Distribution Center,17 Electric Avenue,2135,3520,Not Available,Not Available,,Distribution Center,1950,0,0,Not Available,,,,,,2202671010,2016,#VALUE!,#VALUE!
Building C,Yes,Non-Refrigerated Warehouse,17 Electric Avenue,2135,2736,Not Available,Not Available,,Non-Refrigerated Warehouse,1950,0,0,Not Available,,,,,,2202671010,2016,#VALUE!,#VALUE!
Building D,Yes,Other - Services,17 Electric Avenue,2135,6660,Not Available,Not Available,,Other - Services,1950,0,0,Not Available,,,,,,2202671010,2016,#VALUE!,#VALUE!
