Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),PARCEL_ID,Years Reported,Total Source Energy (kBTU),Source EUI (kBTU/sf),2030 Target by Type,Distance to 2030 Target %,Distance to 2030 Target val,Specific Property Type,,,
700 Beacon Street,Yes,Education,700 Beacon Street,02215,37345,35.6,Not Available,,College/University,1917,70.7,1.9,1330700,,1,,0.1,,Not Available,2016,1397235,37.41424555,195.2,0,-157.785754,College/University,,,
700 Commonwealth Avenue,Yes,Residential,700 Commonwealth Avenue,02215,425007,83.3,77,,Parking Residence Hall/Dormitory,1966,2231.8,5.3,35414580,0.23,0.77,,66.2,,2100347001,2014 2015 2016,54209097.15,127.548716,101.6,0.203442,25.948716,Residence Hall/Dormitory,,,
702-718 Centre St,Yes,Mercentile,702 B718A Centre St,02130,38250,41.5,Not Available,,Other - Mall,1925,140.7,3.7,1588769,0.81,0.19,,1531.5,,1901392000,2016,4357834.49,113.9303135,197.6,0,-83.669687,Other - Mall,,,
70-72 East Concord Street L Building,Yes,Office,72 East Concord Street,02118,215224,149.6,Not Available,,Laboratory,1968,2482.6,11.5,32192123,0.35,0,0.65,9.5,,0801403000,2014 2015 2016,60488999.87,281.0513691,101.6,0.6385,179.451369,Laboratory,,,
710 Albany Street,Yes,Warehouse and Storage,710 Albany Street,02118,312921,1,Not Available,,Parking,2000,30.8,0.1,318610,1,,,,,Not Available,2014 2015 2016,1000434.458,3.197083155,101.6,0,-98.402917,Parking,,,
711 Atlantic Avenue,Yes,Office,711 Atlantic Avenue,02111,91464,79.6,78,,Office,1898,577.3,6.3,7277911,0.6,0.4,,9.9,,04309-000,2014 2015 2016,16768306.94,183.3323159,101.6,0.445815,81.732316,Office,,,
711 Atlantic Holdings,Yes,Office,711 Atlantic ,02108,91464,0.3,100,,Office,1900,1.7,0,32001,,1,,,,0304309000,2014 2015 2016,33601.05,0.367369129,101.6,0,-101.232631,Office,,,
71-77 Summer,Yes,Office,71-77 Summer St.,02110,62622,54.9,75,,Office,1901,332.5,5.3,3436448,1,,,17.1,,0304561000 0304562000,2014 2015 2016,10790446.72,172.3107968,101.6,0.410368,70.710797,Office,,,
719 Washington Street,Municipal,Other,719 Washington Street,02124,1428,0.6,Not Available,,Other,2000,0.1,0.1,911,1,,,,,Not Available,2016,2860.54,2.003179272,101.6,0,-99.596821,Other,,,
72 K St,Yes,Office,72 K Street,02127,4200,47.8,Not Available,,Office,1900,13.9,3.3,200928,0.36,0.64,,4,,0603405060,2014 2015 2016,362152.6272,86.226816,101.6,0,-15.373184,Office,,,
722-728 Commonwealth Avenue,Yes,Residential,722-728 Commonwealth Avenue,02215,87469,95.9,79,,Residence Hall/Dormitory,1974,487.8,5.6,8391874,0.11,0.89,,66.1,,Not Available,2014 2015 2016,10740759.15,122.7950377,101.6,0.172605,21.195038,Residence Hall/Dormitory,,,
73 Tremont St,Yes,Office,73 Tremont St,02108,303975,75.9,70,,Office Other - Education Parking,1898,2232.6,7.3,23077611,1,,,15.2,,0304675000,2014 2015 2016,72463696.97,238.3870284,101.6,0.573802,136.787028,Office,,,
730-732 Commonwealth Avenue,Yes,Office,730-732 Commonwealth Avenue,02215,46022,477.5,Not Available,,Laboratory Parking,1990,1332.4,29,21975701,0.17,0.83,,13.8,,Not Available,2016,30882452.9,671.036741,101.6,0.848592,569.436741,Laboratory,,,
745 Atlantic Ave,Yes,Office,745 Atlantic Ave,02111,194417,75.8,64,,Office Parking,1988,1426.5,7.3,14745241,1,,,5.2,,0305355000,2014 2015 2016,46300056.74,238.1481904,101.6,0.573375,136.54819,Office,,,
745-755 Commonwealth Avenue,Yes,Education,745-755 Commonwealth Avenue,02215,114978,254.2,Not Available,,College/University,1947,1903.1,16.6,29226603,0.28,0.72,,1.7,,25887291000,2014 2015 2016,47791341.72,415.6564014,195.2,0.530381,220.456401,College/University,,,
75 Amory LLC,Yes,Office,75 Amory Street,02119,36000,Not Available,Not Available,,Office,1900,Not Available,0,Not Available,,,,7.1,,Not Available,2016,#VALUE!,#VALUE!,,0,220.456401,Office,,,
75 Arlington Street,Yes,Office,75 Arlington Street,02116,269327,47.3,98,,Office Other Restaurant,1913,995.8,3.7,12745276,0.57,0.43,,9.8,,0501151000,2014 2015 2016,28565987.1,106.0643274,101.6,0.042091,4.464327,Office,,,
75 Clarendon Street Condo Trust,Yes,Residential,c/o Barkan Management,02210,46100,56.8,35,,Multifamily Housing,1000,226.6,4.9,2617539,0.77,0.23,,36.4,,0501048000,2015 2016,6960821.463,150.993958,101.6,0.327125,49.393958,Multifamily Housing,,,
75 Kneeland St,Yes,Office,75 Kneeland St,02111,226320,105.7,61,,Office Restaurant,1928,1824.1,8.1,23917320,0.53,0.47,,14.3,,0305237000,2014 2015 2016,51606401.36,228.0240428,101.6,0.554433,126.424043,Office,,,
75 State Street,Yes,Office,75 State Street,02109,813261,64.3,89,,Financial Office Office Other Other - Restaurant/Bar Parking Retail Store,1987,5062.5,6.2,52328094,1,,,12.3,,0303860000,2014 2015 2016,164310215.2,202.0387245,101.6,0.497126,100.438724,Mixed Use Property,,,
750 Commonwealth Avenue,Yes,Unknown,Boston University,02215,Not Available,Not Available,Not Available,,,2013,0,Not Available,Not Available,,,,,,Not Available,2016,#VALUE!,#VALUE!,,0,100.438724,Not Available,,,
750 Harrison Avenue,Yes,Office,750 Harrison Avenue,02118,56487,216.5,8,,Medical Office,1918,929.1,16.4,12231550,0.31,,0.69,26.4,,Not Available,2014 2015 2016,22033913.27,390.0705166,101.6,0.739534,288.470517,Medical Office,,,
75-101 Federal Street,Yes,Office,75-101 Federal Street,02110,888478,66.6,76,,Bank Branch Office Parking,1929,5605.5,6.3,59140435,0.94,0.01,0.06,12.9,,0304199,2014 2015 2016,179437993.8,201.9610996,101.6,0.496933,100.3611,Office,,,
755 Boylston LLC,Yes,Residential,755 Boylston Street,02116,54384,69.6,Not Available,,Multifamily Housing Restaurant,1860,312.8,5.8,3787546,0.68,0.32,,18.5,,0503207200,2015 2016,9359784.417,172.1054799,,0,100.3611,Multifamily Housing,,,
75-85 East Newton Street (Evans)  E Building,Yes,Office,75 East Newton Street,02118,180366,239.6,Not Available,,Laboratory,1972,3561.8,19.7,43219016,0.53,0,0.47,58.4,,Not Available,2014 2015 2016,96300612.12,533.9177679,101.6,0.809709,432.317768,Laboratory,,,
765 Commonwealth Avenue,Yes,Education,765 Commonwealth Avenue,02215,167671,174.3,Not Available,,College/University,1964,1903.1,11.4,29226603,0.28,0.72,,1.1,,25887291000,2014 2015 2016,47791341.72,285.0304568,195.2,0.315161,89.830457,College/University,,,
771 Commonwealth Avenue,Yes,Public Assembly,771 Commonwealth Avenue,02215,218657,133.7,Not Available,,Library,1966,1903.1,8.7,29226603,0.28,0.72,,0.9,,25887291000,2014 2015 2016,47791341.72,218.5676275,196.8,0.099592,21.767627,Library,,,
775 Commonwealth Avenue,Yes,Education,775 Commonwealth Avenue,02215,202105,156.8,Not Available,,College/University,1963,2034.2,10.1,31693521,0.25,0.75,,49,,25887291000,2014 2015 2016,49838061.77,246.5948976,195.2,0.208418,51.394898,College/University,,,
778-780 Harrison Avenue R (10 Stoughton),Yes,Office,780 Harrison Avenue,02118,120633,187.7,Not Available,,Laboratory,1959,2190.5,18.2,22642027,1,0,0,44.3,,Not Available,2014 2015 2016,71095965.09,589.3575149,101.6,0.827609,487.757515,Laboratory,,,
785 Commonwealth Avenue (1 University Road),Yes,Education,785 Commonwealth Avenue (1 University Road),02215,54767,145.1,Not Available,,College/University,1931,522.2,9.5,7948782,0.29,0.71,,12.4,,2100392000,2014 2015 2016,13163977.21,240.3633065,195.2,0.187896,45.163306,College/University,,,
790 Harrison Ave (71 East Concord) K Building,Yes,Office,790 Harrison Ave (71 East Concord),02118,77861,301.4,Not Available,,Laboratory,1904,1851.8,23.8,23464828,0.41,0,0.59,50,,0801420010,2014 2015 2016,46821717.39,601.3500648,101.6,0.831047,499.750065,Laboratory,,,
8 Norwell St S&W,Yes,Unknown,8 Norwell St,02121,Not Available,Not Available,Not Available,,,1900,0,Not Available,Not Available,,,,,,Not Available,2016,#VALUE!,#VALUE!,,0,499.750065,Not Available,,,
80 Boylston St./ The Little Building,Yes,Residential,80 Boylston Street,02116,216877,Not Available,Not Available,,Residence Hall/Dormitory,1917,0,0,Not Available,,,,,,0500001001,2014 2015 2016,#VALUE!,#VALUE!,,0,499.750065,Residence Hall/Dormitory,,,
80 K St,Yes,Office,80 K Street,02127,7200,43.3,93,,Office,1900,21.5,3,312002,0.36,0.64,,1.2,,0603405060,2014 2015 2016,562352.4048,78.10450067,101.6,0,-23.495499,Office,,,
801 Albany Street,Yes,Office,801 Albany Street ,02118,43000,52.9,Not Available,,Office,1970,152.2,3.5,2276456,0.31,0.69,,0.1,,Not Available,2016,3865194.642,89.8882475,101.6,0,-11.711753,Office,,,
803 Summer Street,Yes,Office,803 Summer Street,02127,36000,33.9,98,,Office,1986,97.3,2.7,1220403,0.61,0.39,,4.4,,0603405050,2016,2837314.935,78.81430374,101.6,0,-22.785696,Office,,,
808 Commonwealth Avenue,Yes,Public Assembly,808 Commonwealth Avenue,02215,199176,93.3,Not Available,,Museum Parking,1928,1173,5.9,18586484,0.23,0.77,,8.3,,Not Available,2016,28450330.29,142.8401529,101.6,0.288715,41.240153,Museum,,,
815 Albany Street,Yes,Residential,815 Albany Street,02119,102283,97.5,5,,Multifamily Housing,2012,693.9,6.8,9967799,0.38,0.62,,40.5,,0802041010,2014 2015 2016,18382614.36,179.723066,25.4,0.858671,154.323066,Multifamily Housing,,,
82 Devonshire St,Yes,Office,55 Congress St,02109,282995,Not Available,Not Available,,Office,1974,Not Available,Not Available,Not Available,,,,,,03882000,2014 2015 2016,#VALUE!,#VALUE!,,0,154.323066,Office,,,
82 East Concord Street (715 Albany Street),Yes,Office,82 East Concord Street,02118,82153,68.1,80,,Medical Office,1876,454.5,5.5,5595895,0.47,,0.47,16.3,,0801418000,2014 2015 2016,11414507.03,138.9420597,101.6,0.26876,37.34206,Medical Office,,,
82 South Huntington,Yes,Residential,82 South Huntington Avenue,02130,80000,Not Available,Not Available,,Multifamily Housing,1969,Not Available,Not Available,Not Available,,,,,,Not Available,2015 2016,#VALUE!,#VALUE!,,0,37.34206,Multifamily Housing,,,
83 Ivy Street,Yes,Residential,83 Ivy Street,02446,39700,0.3,100,,Multifamily Housing,1981,1.2,0,12714,1,,,,,Not Available,2016,39922.588,1.005606751,101.6,0,-100.594393,Multifamily Housing,,,
830-846 Commonwealth Avenue,Yes,Mercentile,830-846 Commonwealth Avenue,02446,36153,35.5,Not Available,,Strip Mall,1966,100.6,2.8,1284315,0.23,0.04,,6.5,,Not Available,2016,981473.6758,27.1477796,197.6,0,-170.45222,Strip Mall,,,
84 State Street,Yes,Office,84 State Street,02109,133208,55.6,89,,Office Other Restaurant,1902,668.2,5,7408423,0.71,,,11,,0303680-000,2014 2015 2016,16516337.57,123.9890815,101.6,0.180573,22.389081,Office,,,
85 E. India Row,Yes,Residential,85 E. India Row,02110,406928,96.9,16,,Multifamily Housing,1900,2485.6,6.1,39443461,0.23,0.77,,20.8,,0302975000,2016,60376105.75,148.3704875,101.6,0.315228,46.770487,Multifamily Housing,,,
855 Boylston Street-Gateway Longwood,Yes,Office,855 Boylston,02116,155775,63.4,80,,Office Parking Retail Store,1985,955.4,6.1,9875010,1,,,8.2,,03134-000,2014 2015 2016,31007531.4,199.0533231,101.6,0.489584,97.453323,Office,,,
855 Commonwealth Avenue,Yes,Education,855 Commonwealth Avenue,02215,207318,90.8,Not Available,,College/University,1919,1271,6.1,18834614,0.33,0.67,,0.8,,2100397000,2014 2015 2016,32766577.45,158.0498435,195.2,0,-37.150157,College/University,,,
856-862 Beacon Street,Yes,Residential,856-862 Beacon Street,02215,35364,127.4,17,,Multifamily Housing,1985,254,7.2,4504116,0.08,0.92,,8,,Not Available,2014 2015 2016,5482409.387,155.0279772,101.6,0.344634,53.427977,Multifamily Housing,,,
87 Summer Street,Yes,Office,87 Summer Street,02110,27610,98.5,64,,Office,1877,182.7,6.6,2720892,0.32,0.68,,414.7,,Not Available,2016,4676669.17,169.3831644,101.6,0.400177,67.783164,Office,,,
871 Commonwealth Avenue,Yes,Education,871 Commonwealth Avenue,02215,95968,155.7,Not Available,,College/University,1926,894.6,9.3,14943807,0.15,0.85,,7.9,,2100398000,2014 2015 2016,20375880.84,212.319532,195.2,0.080631,17.119532,College/University,,,
88 Black Falcon,Yes,Warehouse and Storage,88 Black Falcon Ave.,02210,376447,68.9,66,,Non-Refrigerated Warehouse Office,1910,2174.4,5.8,25946279,0.7,0.3,,4.9,,02674-016,2014 2015 2016,65202999.13,173.2063189,101.6,0.413416,71.606319,Non-Refrigerated Warehouse,,,
881 Commonwealth Avenue,Yes,Office,881 Commonwealth Avenue,02215,107773,186.8,16,,Medical Office Office,1915,1387.3,12.9,20129046,0.36,0.64,,13.9,,2100399000,2014 2015 2016,36280592.51,336.6389774,101.6,0.698193,235.038977,Office,,,
882-888 Commonwealth Avenue,Yes,Office,882-888 Commonwealth Avenue,02446,99352,24.1,100,,Office,1921,180,1.8,2394158,0.51,0.49,,75.7,,Not Available,2016,5065799.335,50.98839817,101.6,0,-50.611602,Office,,,
890 Commonwealth Avenue,Yes,Education,890 Commonwealth Avenue,02446,57471,87.5,Not Available,,College/University Parking,1995,445.4,7.7,5026858,0.81,0.19,,16,,Not Available,2016,13788168.53,239.9152361,195.2,0.186379,44.715236,College/University,,,
90 Seattle St,Yes,Mercentile,90 Seattle Street,02134,36572,45.2,98,,Retail Store,2005,100.5,2.7,1651988,0.18,0.82,,,,2200181000,2016,2356065.286,64.42265355,27.8,0.568475,36.622654,Retail Store,,,
900-940 Commonwealth Avenue,Yes,Education,900-940 Commonwealth Avenue,02446,233000,4.3,Not Available,,Other - Education,1991,73.1,0.3,1001117,0.46,0.54,,,,Not Available,2016,2013647.337,8.64226325,111.2,0,-102.557737,Other - Education,,,
91 Bay State Road,Yes,Residential,91 Bay State Road,02215,118821,91.2,59,,Residence Hall/Dormitory,1923,706.8,5.9,10833372,0.28,0.72,,44.9,,0503743000,2014 2015 2016,17714730.22,149.0875369,101.6,0.318521,47.487537,Residence Hall/Dormitory,,,
910 Commonwealth Avenue,Yes,Office,910 Commonwealth Avenue,02446,45500,42.9,99,,Office,1950,159.3,3.5,1952371,0.33,,,3.4,,Not Available,2016,2023047.037,44.46257225,101.6,0,-57.137428,Office,,,
915 Commonwealth Avenue,Yes,Public Assembly,915 Commonwealth Avenue,02215,286901,129.2,Not Available,,Fitness Center/Gym,2004,2716.7,9.5,37068652,0.46,0.54,,2.7,,2100401000,2014 2015 2016,74559886.63,259.8801908,25.4,0.902263,234.480191,Fitness Center/Health Club/Gym,,,
921 Boylston St.,Yes,Education,921 Boylston Street,02115,58390,86.4,Not Available,,College/University,1950,391.9,6.7,5043796,0.56,0.44,,9.4,,Not Available,2014 2016,11199244.64,191.8007302,195.2,0,-3.39927,College/University,,,
925 Commonwealth Avenue,Yes,Public Assembly,925 Commonwealth Avenue,02215,303285,98.2,Not Available,,Indoor Arena Parking,2004,2329.1,7.7,29771123,0.58,0.42,,2.5,,2100401000,2014 2015 2016,67348233.32,222.0625264,25.4,0.885618,196.662526,Indoor Arena,,,
960 Mass Ave.,Yes,Other,960 Massachusetts Ave,02118,77000,56,Not Available,,Other,1920,305.9,4,4311114,0.41,0.59,,6.8,,Not Available,2014 2015 2016,8220863.287,106.7644583,101.6,0.048372,5.164458,Other,,,
9673r-Renaissance Boston Waterfront,Yes,Residential,606 Congress Street,02210,405633,123.1,45,,Hotel,2008,3558.7,8.8,49924213,0.42,0.58,,35.1,,3351813,2015 2016,96243897.82,237.2684121,25.4,0.892948,211.868412,Hotel,,,
98 N. Washington Street,Yes,Office,98 N. Washington Street,02114,80528,45.4,91,,Office Parking,1986,315.3,3.9,3652344,0.76,0.24,,10.1,,0301518000,2015 2016,9636344.41,119.6645193,101.6,0.15096,18.064519,Office,,,
983-985 Commonwealth Avenue,Yes,Office,983-985 Commonwealth Avenue,02215,36865,423.2,1,,Office,1981,956.4,25.9,15601963,0.19,0.81,,5,,Not Available,2014 2015 2016,22577600.08,612.4399859,101.6,0.834106,510.839986,Office,,,
99 Bedford Street,Yes,Office,99 Bedford Street,02111,93779,71.1,85,,Office,1874,518,5.5,6663746,0.56,0.44,,6.6,,0304245000,2014 2015 2016,14796181.62,157.7771315,101.6,0.356054,56.177131,Office,,,
99 Chauncy Street,Yes,Office,99 Chauncy Street,02111,108106,54.6,94,,Office,1968,459,4.2,5907220,0.56,0.44,,6.9,,0304504000,2014 2015 2016,13116391.29,121.3289853,101.6,0.162607,19.728985,Office,,,
99 Chestnut Hill Park,Yes,Residential,99 Chestnut Hill Park,02135,57949,50.2,78,,Multifamily Housing,2005,211.2,3.6,2908399,0.45,0.55,,29.8,,2204946000,2015 2016,5789168.21,99.90108905,25.4,0.745749,74.501089,Multifamily Housing,,,
99 High Street,Yes,Office,99 High Street,02110,731205,79.7,88,,Bank Branch Office Other - Restaurant/Bar Parking,1969,4533.7,6.2,58310015,0.56,0.44,,13.1,,0304390000,2014 2015 2016,129471557.3,177.0660175,101.6,0.426203,75.466017,Office,,,
99 Summer Street,Yes,Office,99 Summer Street,02110,291332,53.3,88,,Office Parking,1987,1448.9,5,15532506,0.92,0.08,,13.2,,Not Available,2014 2016,46175033.84,158.4962649,101.6,0.358975,56.896265,Office,,,
A-01 Station,Municipal,Public Order and Saftey,40 NEW SUDBURY ST,02114,37433,161.5,Not Available,,Police Station,2000,418.6,11.2,6044765,0.37,0.63,,,,Not Available,2016,11021419.3,294.4305638,116.8,0.603302,177.630564,Police Station,,,
A-07 Station,Municipal,Public Order and Saftey,69 Paris St,02128,16194,149.2,Not Available,,Police Station,2000,164.9,10.2,2416514,0.35,0.65,,,,Not Available,2016,4305020.047,265.8404376,116.8,0.560639,149.040438,Police Station,,,
A-15 Station,Municipal,Public Order and Saftey,20 Vine St,02129,20000,87.4,Not Available,,Police Station,2000,138.3,6.9,1747053,0.6,0.4,,,,Not Available,2016,4025210.342,201.2605171,116.8,0.419658,84.460517,Police Station,,,
ABRAHAM LINCOLN,Municipal,Education,152 Arlington St.,02116,80364,41.4,99,,K-12 School,1911,202.4,2.5,3324812,0.18,0.82,,,,Not Available,2016,4741847.16,59.00461848,101.6,0,-42.595382,K-12 School,,,
Academy Homes I,Yes,Residential,1592 Columbus Ave,02119,365000,58,99,,Multifamily Housing,1962,1206.8,3.3,21186310,0.09,0.91,,42.5,,1100916001,2016,26230770.41,71.86512441,101.6,0,-29.734876,Multifamily Housing,,,
Academy Training,Municipal,Public Order and Saftey,85 Williams Ave,02136,59500,43.3,Not Available,,Police Station,2000,55.9,0.9,2575808,0.22,,,,,Not Available,2016,1779367.821,29.90534153,116.8,0,-86.894658,Police Station,,,
Activities Building,Yes,Education,180 Riverway,02215,98044,60.5,Not Available,,College/University,1967,500.4,5.1,5929954,0.72,0.28,,26,,0402000000,2014 2015 2016,15149846.48,154.5208935,195.2,0,-40.679107,College/University,,,
ADAMS,Municipal,Education,165 Webster St.,02128,41336,47.7,99,,K-12 School,1910,118.3,2.9,1971693,0.16,0.84,,,,Not Available,2016,2729611.374,66.03472455,101.6,0,-35.565275,K-12 School,,,
Adams Court-A,Yes,Residential,415 River Street,02126,48580,58.5,84,,Multifamily Housing Parking,1965,182.6,3.8,2843801,0.25,0.75,,58.5,,1801010000 1801012000,2015 2016,4471877.073,92.05181294,101.6,0,-9.548187,Multifamily Housing,,,
Adams Street Branch,Municipal,Public Assembly,690 Adams St,02122,7189,75.4,Not Available,,Library,2000,35.2,4.9,542055,0.27,0.73,,,,Not Available,2016,875038.7408,121.7191182,196.8,0,-75.080882,Library,,,
Administration Building/Wilkens Science Center,Yes,Education,400 The Fenway,02115,166153,170.6,Not Available,,College/University Data Center Parking,1919,1985.9,12,28347217,0.39,0.61,,20.1,,0401847000,2014 2015 2016,52870394.43,318.2030684,195.2,0.386555,123.003068,College/University,,,
African American Museum,Municipal,Public Assembly,46 Joy St,02114,4500,Not Available,Not Available,,Museum,2000,0,0,Not Available,,,,,,Not Available,2016,#VALUE!,#VALUE!,,0,123.003068,Museum,,,
AGASSIZ,Municipal,Education,20 Child St.,02130,115400,89.8,57,,K-12 School,1972,625.1,5.4,10362895,0.17,0.83,,,,Not Available,2016,14562975.64,126.1956295,101.6,0.194901,24.595629,K-12 School,,,
Albert A. Pope Condominium Trust,Yes,Unknown,221 Columbus Ave,02116,Not Available,Not Available,Not Available,,,1891,Not Available,Not Available,Not Available,,,,,,Not Available,2016,#VALUE!,#VALUE!,,0,24.595629,Not Available,,,
Aldrich Hall,Yes,Education,35 Harvard Way,02163,105818,62.9,Not Available,,College/University,1953,537.1,5.1,6657343,0.47,,0.53,21.9,,2200530000,2014 2015 2016,14058976.95,132.8599761,195.2,0,-62.340024,College/University,,,
Alger Street Realty LLC,Yes,Other,4 Alger Street,02127,98882,85.7,Not Available,,Other - Services,1947,632.4,6.4,8472959,0.49,0.51,,1.6,,0700027000,2014 2015 2016,17573764.26,177.7246037,101.6,0.428329,76.124604,Other - Services,,,
ALIGHIERI,Municipal,Education,37 Gove St.,02128,16948,58.1,100,,K-12 School,1924,54,3.2,985371,0.04,0.96,,,,Not Available,2016,1117016.452,65.90845246,101.6,0,-35.691548,K-12 School,,,
Allerton: 65 Allerton Street,Yes,Office,65 Allerton Street,02119,72087,105.5,25,,Office,2000,688.3,9.5,7608704,0.86,0.14,,70.9,,0800962000,2014 2015 2016,21665023.77,300.5399555,101.6,0.661942,198.939956,Office,,,
Alumnae Hall,Yes,Education,321R Brookline Avenue,02115,7600,276,Not Available,,College/University,1905,177.1,23.3,2097638,0.72,0.28,,,,0402012000,2015 2016,5359045.562,705.137574,195.2,0.723175,509.937574,College/University,,,
Amiff Housing: Amiff-ALH,Yes,Residential,64 American Legion Highway,02124,87660,94.9,35,,Multifamily Housing,1971,481.7,5.5,8317864,0.11,0.89,,57.5,,1404246000,2015 2016,10646034.13,121.4468872,101.6,0.16342,19.846887,Multifamily Housing,,,
Amory Terrace,Yes,Residential,20 Amory Avenue,02119,64085,27.6,100,,Multifamily Housing Parking,2005,155.3,2.4,1768806,0.79,0.21,,64.8,,1101201010 1101202010,2015 2016,4777721.887,74.55288892,25.4,0.659302,49.152889,Multifamily Housing,,,
Amy Lowell House: 65 Martha Road,Yes,Residential,65 Martha Rd,02114,115000,75.6,40,,Multifamily Housing,1975,634.1,5.5,8699361,0.45,0.55,,44.4,,0300465000,2015 2016,17316078.07,150.5745919,101.6,0.325251,48.974592,Multifamily Housing,,,
Andrew Dutton Co,Yes,Office,60 Canal St,02114,39000,72.2,88,,Office,1895,210.2,5.4,2814773,0.49,0.51,,4.8,,Not Available,2016,5838120.057,149.6953861,101.6,0.321288,48.095386,Office,,,
Animal Control Shelter,Municipal,Other,26 Mahler Rd,02131,10000,216.4,Not Available,,Other,2000,136.7,13.7,2163790,0.23,0.77,,,,Not Available,2016,3312112.894,331.2112894,101.6,0.693247,229.611289,Other,,,
Ansin Building,Yes,Education,180 Tremont St,02116,98744,Not Available,Not Available,,College/University,1931,Not Available,0,Not Available,,,,12,,0304890100,2014 2015 2016,#VALUE!,#VALUE!,,0,229.611289,College/University,,,
Anti Corruption,Municipal,Public Order and Saftey,1960 Washington St,02118,4200,56.6,Not Available,,Police Station,2000,17.5,4.2,237733,0.47,0.53,,,,Not Available,2016,483144.3694,115.0343737,116.8,0,-1.765626,Police Station,,,
Arborway Gardens Condominium,Yes,Residential,461 463 467 469 493 495 Arborway ,02130,150172,94.7,50,,Multifamily Housing,1950,808.1,5.4,14220077,0.09,0.91,,27.4,,1102640000,2015 2016,17605877.33,117.2380826,,0,-1.765626,Multifamily Housing,,,
Archer/Donahue,Yes,Education,41 Temple Street,02114,175791,134.2,Not Available,,College/University,1920,1780.4,10.1,23592910,0.34,0,0.56,10.7,,Not Available,2014 2016,41042226.24,233.4717149,195.2,0.163924,38.271715,College/University,,,
Archives Building,Municipal,Warehouse and Storage,201 Rivermoor St,02132,119454,70.1,10,,Non-Refrigerated Warehouse,2000,683.1,5.7,8370471,0.65,0.35,,,,Not Available,2016,20160278.44,168.7702249,101.6,0.397998,67.170225,Non-Refrigerated Warehouse,,,
Arlington Boylston,Yes,Office,330-350 Boylston Street,02116,63054,93.7,62,,Office Other Retail Store,1899,438.8,7,5909392,0.34,0.2,0.46,9.6,,0501167000,2014 2015 2016,10811823.6,171.469274,101.6,0.407474,69.869274,Office,,,
Armenian Nursing and Rehabilitation Center,Yes,Residential,431 Pond St ,02130,38240,84.8,Not Available,,,1958,154.3,4,3244455,,0.9,,47.2,,1902312000,2016,3066009.975,80.17808512,101.6,0,-21.421915,Residential Care Facility,,,
Armenise,Yes,Office,210 Longwood Ave,02115,133645,209.5,Not Available,,Laboratory,1905,1978.5,14.8,27996487,0.28,,0.4,46.1,,0401882000,2014 2015 2016,38052825.13,284.7306306,101.6,0.643172,183.130631,Laboratory,,,
Arnold Hall,Yes,Education,78 Pilgrim Road,02115,22000,113.5,Not Available,,College/University,1951,166.7,7.6,2497164,0.31,0.69,,31.2,,0402013000,2015 2016,4239934.756,192.7243071,195.2,0,-2.475693,College/University,,,
Arthur J. Hurley Co.,Yes,Warehouse and Storage,2500 Washington Street,02119,50000,17.6,94,,Distribution Center,1967,46.7,0.9,879717,0,1,,2.9,63.7,01247-000,2014 2015 2016,56961675.75,1139.233515,101.6,0.910817,1037.633515,Distribution Center,,,
Artists,Yes,Residential,300 Summer Street,02210,85000,45.5,69,,Multifamily Housing,1950,278,3.3,3868922,0.43,0.57,,13.8,,0602696002,2015 2016,7539368.301,88.6984506,101.6,0,-12.901549,Multifamily Housing,,,
ARTS ACADEMY,Municipal,Education,174 Ipswich St.,02215,129800,67.2,63,,K-12 School,1998,588.8,4.5,8718806,0.33,0.67,,,,Not Available,2016,15168106.62,116.8575241,101.6,0.130565,15.257524,K-12 School,,,
Ashmont Hill LLC,Yes,Public Assembly,321 Centre Street,02122,46952,204.2,12,,Senior Care Community,1953,621.5,13.2,9589095,0.27,0.73,,83.7,,1601072000,2016,15479676.06,329.691516,101.6,0.691833,228.091516,Senior Care Community,,,
Asian Healthcare Foundation of Massachusetts,Yes,Office,145 South Street,02111,42000,63.8,93,,Office,1895,215.7,5.1,2679364,0.63,0.37,,13.9,,0304325000,2016,6341250.779,150.9821614,101.6,0.327073,49.382161,Office,,,
AsianKennedySmith Campus,Yes,Education,125129131 Hemenway street,02115,110798,84.4,Not Available,,College/University,1903,583.1,5.3,9353747,0.21,0.79,,34.4,,Not Available,2014 2015 2016,13926793.91,125.6953547,,0,49.382161,College/University,,,
Atelier 505,Yes,Residential,505 Tremont St,02116,224000,91.6,4,,Multifamily Housing,2004,1462.8,6.5,20518840,0.42,0.58,,28.6,,0500815020,2016,39556218.79,176.5902624,25.4,0.856164,151.190262,Multifamily Housing,,,
Atlantic Wharf,Yes,Office,280 Congress St.,02210,840913,79.2,90,,Data Center Office Parking Restaurant,2010,5755.8,6.8,66574999,0.76,0.24,,11.9,,0302952018 0302952020 0302952022 0302952024,2014 2015 2016,175651477.4,208.8818669,25.4,0.8784,183.481867,Office,,,
